id;recipe_id;nome;categoria;class_name;risk_episode;risk_episode_severity;regime;event_start;event_end;event_duration;progressive;detectable_start_035;onset_gap_035;persistent_tail;last6_mean_clean;mean_eye_gaze;mean_lane_offset;window;sensor_level
C07;C07;Critico progressivo: Sem cinto sob chuva;Critico;Critico;0.48915503621101375;0.48915503621101375;R2_STABLE_RISK;37;75;39;1;57;20;1;0.3153044283390045;0.381038099527359;0.16498158872127533;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.41853058338165283;0.41853058338165283;R1_NORMAL;38;73;36;1;60;22;0;0.05000000819563866;0.2462615966796875;0.12955616414546967;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.3713889718055725;0.3713889718055725;R2_STABLE_RISK;22;45;24;0;24;2;0;0.05000000819563866;0.19923777878284454;0.14201848208904266;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R3_FALSE_KIN;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.024927696213126183;0.0833662748336792;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.0312827005982399;0.12334690243005753;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.026660406962037086;0.11699644476175308;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R2_STABLE_RISK;26;41;16;0;28;2;0;0.05000000819563866;0.1921139508485794;0.12650008499622345;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R1_NORMAL;26;41;16;0;28;2;0;0.05000000819563866;0.18877609074115753;0.12888853251934052;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R3_FALSE_KIN;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.036293718963861465;0.07792264968156815;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.43398087620735165;0.43398087620735165;R3_FALSE_KIN;40;81;42;1;59;19;0;0.05000000819563866;0.20994466543197632;0.1114603579044342;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.026383938267827034;0.10893978923559189;96;4
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.02914983220398426;0.09737547487020493;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03307776153087616;0.1167968139052391;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.4786553025245666;0.4786553025245666;R2_STABLE_RISK;42;73;32;1;62;20;1;0.28196290135383606;0.31218573451042175;0.13565419614315033;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R3_FALSE_KIN;26;41;16;0;28;2;0;0.05000000819563866;0.1877710372209549;0.09915248304605484;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R3_FALSE_KIN;26;41;16;0;28;2;0;0.05000000819563866;0.18741454184055328;0.09862542897462845;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R1_NORMAL;26;41;16;0;28;2;0;0.05000000819563866;0.18357856571674347;0.1592550277709961;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.6259647041559219;0.6259647041559219;R1_NORMAL;26;41;16;0;28;2;1;0.2715398371219635;0.18901823461055756;0.13640213012695312;96;4
C08;C08;Critico progressivo: Distracao urbana multietapas;Critico;Critico;0.4392881482839584;0.4392881482839584;R3_FALSE_KIN;28;77;50;1;52;24;0;0.05000000819563866;0.31949520111083984;0.15207229554653168;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.3713889718055725;0.3713889718055725;R2_STABLE_RISK;22;45;24;0;24;2;0;0.05000000819563866;0.19918690621852875;0.14865471422672272;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.6258362859487534;0.6258362859487534;R2_STABLE_RISK;26;41;16;0;28;2;1;0.2709640860557556;0.18882286548614502;0.1851842850446701;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.030926793813705444;0.08140131086111069;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R1_NORMAL;26;41;16;0;28;2;0;0.05000000819563866;0.19198019802570343;0.14670248329639435;96;4
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R3_FALSE_KIN;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.027131566777825356;0.09786560386419296;96;4
