tau_delta,tau_h,fr_val,ttdef_val,skip_pct,feasible,seed
0.015303,0.05,0.0,0.0165,34.25,True,42
0.015303,0.08,0.0,0.0165,34.6,True,42
0.015303,0.1,0.0,0.0165,36.11,True,42
0.015303,0.12,0.0,0.0165,38.06,True,42
0.015303,0.15,0.0,0.0174,39.54,True,42
0.015303,0.18,0.0,0.0174,40.45,True,42
0.015303,0.2,0.0,0.0174,40.89,True,42
0.015303,0.25,0.0,0.0174,41.79,True,42
0.015303,0.3,0.0,0.0217,42.8,False,42
0.015303,0.35,0.0,0.0234,43.61,False,42
0.015303,0.4,0.0,0.0234,44.09,False,42
0.015303,0.5,0.0,0.0234,45.03,False,42
0.015303,0.7,0.0,0.0234,47.26,False,42
0.016056,0.05,0.0,0.0165,35.49,True,42
0.016056,0.08,0.0,0.0165,35.89,True,42
0.016056,0.1,0.0,0.0165,37.43,True,42
0.016056,0.12,0.0,0.0165,39.5,True,42
0.016056,0.15,0.0,0.0182,41.09,False,42
0.016056,0.18,0.0,0.0182,42.01,False,42
0.016056,0.2,0.0,0.0182,42.45,False,42
0.016056,0.25,0.0,0.0182,43.45,False,42
0.016056,0.3,0.0,0.0226,44.53,False,42
0.016056,0.35,0.0,0.0243,45.35,False,42
0.016056,0.4,0.0,0.0243,45.84,False,42
0.016056,0.5,0.0,0.0252,46.88,False,42
0.016056,0.7,0.0,0.0252,49.09,False,42
0.016693,0.05,0.0,0.0165,36.85,True,42
0.016693,0.08,0.0,0.0165,37.27,True,42
0.016693,0.1,0.0,0.0165,38.86,True,42
0.016693,0.12,0.0,0.0165,41.1,True,42
0.016693,0.15,0.0,0.0182,42.71,False,42
0.016693,0.18,0.0,0.0182,43.66,False,42
0.016693,0.2,0.0,0.0182,44.12,False,42
0.016693,0.25,0.0,0.0182,45.18,False,42
0.016693,0.3,0.0,0.0243,46.3,False,42
0.016693,0.35,0.0,0.0304,47.18,False,42
0.016693,0.4,0.0,0.0304,47.68,False,42
0.016693,0.5,0.0,0.033,48.82,False,42
0.016693,0.7,0.0,0.033,51.0,False,42
0.017494,0.05,0.0,0.0165,38.07,True,42
0.017494,0.08,0.0,0.0165,38.52,True,42
0.017494,0.1,0.0,0.0165,40.2,True,42
0.017494,0.12,0.0,0.0165,42.5,True,42
0.017494,0.15,0.0,0.0182,44.22,False,42
0.017494,0.18,0.0,0.0182,45.22,False,42
0.017494,0.2,0.0,0.0182,45.7,False,42
0.017494,0.25,0.0,0.0182,46.79,False,42
0.017494,0.3,0.0,0.0243,47.97,False,42
0.017494,0.35,0.0,0.0304,48.82,False,42
0.017494,0.4,0.0,0.0304,49.33,False,42
0.017494,0.5,0.0,0.0365,50.58,False,42
0.017494,0.7,0.0,0.0365,52.89,False,42
0.018252,0.05,0.0,0.0165,39.33,True,42
0.018252,0.08,0.0,0.0165,39.8,True,42
0.018252,0.1,0.0,0.0165,41.64,True,42
0.018252,0.12,0.0,0.0174,44.08,True,42
0.018252,0.15,0.0,0.0191,45.83,False,42
0.018252,0.18,0.0,0.0191,46.83,False,42
0.018252,0.2,0.0,0.0191,47.37,False,42
0.018252,0.25,0.0,0.0191,48.54,False,42
0.018252,0.3,0.0,0.0252,49.75,False,42
0.018252,0.35,0.0,0.0312,50.61,False,42
0.018252,0.4,0.0,0.0321,51.16,False,42
0.018252,0.5,0.0,0.0382,52.42,False,42
0.018252,0.7,0.0,0.0382,54.73,False,42
0.019085,0.05,0.0,0.0165,40.62,True,42
0.019085,0.08,0.0,0.0165,41.1,True,42
0.019085,0.1,0.0,0.0165,43.03,True,42
0.019085,0.12,0.0,0.0174,45.49,True,42
0.019085,0.15,0.0,0.0191,47.32,False,42
0.019085,0.18,0.0,0.0191,48.39,False,42
0.019085,0.2,0.0,0.0191,48.99,False,42
0.019085,0.25,0.0,0.0191,50.25,False,42
0.019085,0.3,0.0,0.0252,51.48,False,42
0.019085,0.35,0.0,0.0312,52.34,False,42
0.019085,0.4,0.0,0.0321,52.89,False,42
0.019085,0.5,0.0,0.0391,54.18,False,42
0.019085,0.7,0.0,0.0391,56.6,False,42
0.019906,0.05,0.0,0.0191,41.93,False,42
0.019906,0.08,0.0,0.0191,42.38,False,42
0.019906,0.1,0.0,0.0226,44.42,False,42
0.019906,0.12,0.0,0.0234,46.97,False,42
0.019906,0.15,0.0,0.0252,48.89,False,42
0.019906,0.18,0.0,0.0252,50.01,False,42
0.019906,0.2,0.0,0.0252,50.61,False,42
0.019906,0.25,0.0,0.0252,51.92,False,42
0.019906,0.3,0.0,0.0312,53.19,False,42
0.019906,0.35,0.0,0.0399,54.09,False,42
0.019906,0.4,0.0,0.0408,54.67,False,42
0.019906,0.5,0.0,0.0469,56.01,False,42
0.019906,0.7,0.0,0.0469,58.61,False,42
0.020715,0.05,0.0,0.0191,43.29,False,42
0.020715,0.08,0.0,0.0191,43.77,False,42
0.020715,0.1,0.0,0.0226,45.93,False,42
0.020715,0.12,0.0,0.0234,48.6,False,42
0.020715,0.15,0.0,0.0252,50.51,False,42
0.020715,0.18,0.0,0.0252,51.72,False,42
0.020715,0.2,0.0,0.0252,52.33,False,42
0.020715,0.25,0.0,0.0252,53.67,False,42
0.020715,0.3,0.0,0.0312,54.95,False,42
0.020715,0.35,0.0,0.0408,55.9,False,42
0.020715,0.4,0.0,0.0417,56.48,False,42
0.020715,0.5,0.0,0.0477,57.87,False,42
0.020715,0.7,0.0,0.0477,60.52,False,42
0.021675,0.05,0.0,0.0226,44.58,False,42
0.021675,0.08,0.0,0.0226,45.09,False,42
0.021675,0.1,0.0,0.0226,47.33,False,42
0.021675,0.12,0.0,0.0234,50.27,False,42
0.021675,0.15,0.0,0.0252,52.16,False,42
0.021675,0.18,0.0,0.0252,53.42,False,42
0.021675,0.2,0.0,0.0252,54.02,False,42
0.021675,0.25,0.0,0.0269,55.46,False,42
0.021675,0.3,0.0,0.033,56.76,False,42
0.021675,0.35,0.0,0.0425,57.73,False,42
0.021675,0.4,0.0,0.0434,58.35,False,42
0.021675,0.5,0.0,0.0495,59.78,False,42
0.021675,0.7,0.0,0.0495,62.47,False,42
0.022622,0.05,0.0,0.026,45.79,False,42
0.022622,0.08,0.0,0.026,46.33,False,42
0.022622,0.1,0.0,0.026,48.66,False,42
0.022622,0.12,0.0,0.0269,51.72,False,42
0.022622,0.15,0.0,0.0286,53.65,False,42
0.022622,0.18,0.0,0.0286,54.95,False,42
0.022622,0.2,0.0,0.0286,55.6,False,42
0.022622,0.25,0.0,0.0304,57.16,False,42
0.022622,0.3,0.0,0.0365,58.46,False,42
0.022622,0.35,0.0,0.0469,59.43,False,42
0.022622,0.4,0.0,0.0477,60.09,False,42
0.022622,0.5,0.0,0.0538,61.51,False,42
0.022622,0.7,0.0,0.0538,64.28,False,42
0.023642,0.05,0.0,0.026,46.96,False,42
0.023642,0.08,0.0,0.0295,47.54,False,42
0.023642,0.1,0.0,0.0339,50.01,False,42
0.023642,0.12,0.0,0.0356,53.24,False,42
0.023642,0.15,0.0,0.0365,55.28,False,42
0.023642,0.18,0.0,0.0365,56.6,False,42
0.023642,0.2,0.0,0.0365,57.26,False,42
0.023642,0.25,0.0,0.0425,58.93,False,42
0.023642,0.3,0.0,0.0486,60.2,False,42
0.023642,0.35,0.0,0.059,61.16,False,42
0.023642,0.4,0.0,0.0599,61.82,False,42
0.023642,0.5,0.0,0.0625,63.27,False,42
0.023642,0.7,0.0,0.0625,66.24,False,42
0.024559,0.05,0.0,0.0295,48.26,False,42
0.024559,0.08,0.0,0.033,48.83,False,42
0.024559,0.1,0.0,0.0373,51.48,False,42
0.024559,0.12,0.0,0.0399,54.81,False,42
0.024559,0.15,0.0,0.0408,56.96,False,42
0.024559,0.18,0.0,0.0408,58.19,False,42
0.024559,0.2,0.0,0.0408,58.89,False,42
0.024559,0.25,0.0,0.0477,60.66,False,42
0.024559,0.3,0.0,0.0547,62.01,False,42
0.024559,0.35,0.0,0.0651,63.01,False,42
0.024559,0.4,0.0,0.066,63.66,False,42
0.024559,0.5,0.0,0.0677,65.15,False,42
0.024559,0.7,0.0,0.0677,68.19,False,42
0.025621,0.05,0.0,0.0295,49.58,False,42
0.025621,0.08,0.0,0.033,50.13,False,42
0.025621,0.1,0.0,0.0373,52.94,False,42
0.025621,0.12,0.0,0.0399,56.59,False,42
0.025621,0.15,0.0,0.0408,58.45,False,42
0.025621,0.18,0.0,0.0408,59.72,False,42
0.025621,0.2,0.0,0.0408,60.42,False,42
