seed,thr_ep,thr_base,theta_ttd,tau_delta,tau_h,ref_ttdef,n_feasible
42,0.05,0.05,0.1,0.019085,0.12,0.0148,28
43,0.05,0.05,0.1,0.029071,0.05,0.0234,74
44,0.05,0.05,0.1,0.032689,0.08,0.0382,93
45,0.05,0.05,0.1,0.034424,0.05,0.1936,107
46,0.05,0.05,0.1,0.031973,0.08,0.0373,77
47,0.05,0.05,0.1,0.034044,0.12,0.033,95
48,0.05,0.05,0.1,0.033968,0.05,0.0408,40
49,0.05,0.05,0.1,0.03212,0.05,0.0729,60
50,0.05,0.05,0.1,0.029455,0.1,0.3802,157
51,0.05,0.05,0.1,0.017555,0.7,0.0382,52
52,0.05,0.05,0.1,0.015233,0.7,0.0165,0
53,0.05,0.05,0.1,0.027312,0.08,0.0035,28
