seed,config,episode_id,risk_level,t,time_s,p_t,y_frame_clean,p_max_episode
42,baseline_fixed,0,Crítico,0,0.0,0.13867,0.0,0.621
42,baseline_fixed,0,Crítico,1,0.1042,0.12884,0.0,0.621
42,baseline_fixed,0,Crítico,2,0.2083,0.13381,0.0,0.621
42,baseline_fixed,0,Crítico,3,0.3125,0.13896,0.0,0.621
42,baseline_fixed,0,Crítico,4,0.4167,0.1364,0.0,0.621
42,baseline_fixed,0,Crítico,5,0.5208,0.14483,0.0,0.621
42,baseline_fixed,0,Crítico,6,0.625,0.13284,0.0,0.621
42,baseline_fixed,0,Crítico,7,0.7292,0.12574,0.0,0.621
42,baseline_fixed,0,Crítico,8,0.8333,0.12361,0.0,0.621
42,baseline_fixed,0,Crítico,9,0.9375,0.17102,0.0,0.621
42,baseline_fixed,0,Crítico,10,1.0417,0.18747,0.0,0.621
42,baseline_fixed,0,Crítico,11,1.1458,0.17195,0.0,0.621
42,baseline_fixed,0,Crítico,12,1.25,0.16732,0.0,0.621
42,baseline_fixed,0,Crítico,13,1.3542,0.19053,0.0,0.621
42,baseline_fixed,0,Crítico,14,1.4583,0.178,0.0,0.621
42,baseline_fixed,0,Crítico,15,1.5625,0.16451,0.0,0.621
42,baseline_fixed,0,Crítico,16,1.6667,0.16841,0.0,0.621
42,baseline_fixed,0,Crítico,17,1.7708,0.06171,0.0,0.621
42,baseline_fixed,0,Crítico,18,1.875,0.06415,0.0,0.621
42,baseline_fixed,0,Crítico,19,1.9792,0.06324,0.0,0.621
42,baseline_fixed,0,Crítico,20,2.0833,0.06062,0.0,0.621
42,baseline_fixed,0,Crítico,21,2.1875,0.06347,0.0,0.621
42,baseline_fixed,0,Crítico,22,2.2917,0.06129,0.0,0.621
42,baseline_fixed,0,Crítico,23,2.3958,0.06225,0.0,0.621
42,baseline_fixed,0,Crítico,24,2.5,0.07175,0.0,0.621
42,baseline_fixed,0,Crítico,25,2.6042,0.07256,0.0,0.621
42,baseline_fixed,0,Crítico,26,2.7083,0.34691,0.0,0.621
42,baseline_fixed,0,Crítico,27,2.8125,0.4187,0.0,0.621
42,baseline_fixed,0,Crítico,28,2.9167,0.45399,1.0,0.621
42,baseline_fixed,0,Crítico,29,3.0208,0.50889,1.0,0.621
42,baseline_fixed,0,Crítico,30,3.125,0.51403,1.0,0.621
42,baseline_fixed,0,Crítico,31,3.2292,0.58537,1.0,0.621
