Seed,config_id,Modelo,Gating,F1,Precision,Recall,ECE,FailRate,TTD,TTDef,Lat_ms,Cost_ms_per_frame,SkipPct,FailRate_Progressive,FailRate_Abrupt,TTD_Progressive,TTD_Abrupt,TTDef_Progressive,TTDef_Abrupt,N_Progressive,N_Abrupt
42,baseline_fixed,LSTM-Baseline,False,0.481,1.0,0.3167,0.685,0.0,0.0825,0.0825,1.0535,1.0535,0.0,0.0,0.0,0.583,0.1931,0.0087,0.1931,72,48
42,baseline_hybrid,LSTM-Baseline,True,0.481,1.0,0.3167,0.6846,0.0,0.0825,0.0825,1.0535,0.5363,49.098,0.0,0.0,0.5454,0.1931,0.0087,0.1931,72,48
42,aftkd_fixed,LSTM-AF-TKD,False,0.5714,1.0,0.4,0.6007,0.0,0.0156,0.0156,1.015,1.015,0.0,0.0,0.0,0.8565,0.0,0.0231,0.0,72,48
42,aftkd_hybrid,LSTM-AF-TKD,True,0.5714,1.0,0.4,0.5998,0.0,0.0234,0.0234,1.015,0.5614,44.686,0.0,0.0,0.5961,0.0,0.0333,0.0,72,48
43,baseline_fixed,LSTM-Baseline,False,0.2482,1.0,0.1417,0.6979,0.0167,0.1766,0.3432,0.3894,0.3894,0.0,0.0,0.0417,0.515,0.4144,0.0188,0.8311,72,48
43,baseline_hybrid,LSTM-Baseline,True,0.2353,1.0,0.1333,0.7008,0.0167,0.2101,0.3768,0.3894,0.1505,61.359,0.0,0.0417,0.4398,0.4189,0.0637,0.8356,72,48
43,aftkd_fixed,LSTM-AF-TKD,False,0.97,1.0,0.9417,0.6595,0.0,0.0234,0.0234,0.4132,0.4132,0.0,0.0,0.0,1.59,0.0109,0.013,0.0109,72,48
43,aftkd_hybrid,LSTM-AF-TKD,True,0.97,1.0,0.9417,0.6595,0.0,0.0252,0.0252,0.4132,0.2304,44.234,0.0,0.0,1.1444,0.0152,0.0203,0.0152,72,48
44,baseline_fixed,LSTM-Baseline,False,0.3333,1.0,0.2,0.6832,0.025,0.2564,0.5064,1.3574,1.3574,0.0,0.0,0.0625,0.3487,0.6644,0.0014,1.2894,72,48
44,baseline_hybrid,LSTM-Baseline,True,0.3333,1.0,0.2,0.6824,0.025,0.3356,0.5856,1.3574,0.4553,66.461,0.0,0.0625,0.217,0.6644,0.1302,1.2894,72,48
44,aftkd_fixed,LSTM-AF-TKD,False,1.0,1.0,1.0,0.1713,0.0,0.0156,0.0156,0.9203,0.9203,0.0,0.0,0.0,1.4815,0.0,0.0029,0.0,72,48
44,aftkd_hybrid,LSTM-AF-TKD,True,1.0,1.0,1.0,0.1713,0.0,0.0234,0.0234,0.9203,0.4959,46.112,0.0,0.0,0.9621,0.0,0.0188,0.0,72,48
45,baseline_fixed,LSTM-Baseline,False,0.3673,1.0,0.225,0.692,0.1167,0.3096,1.4762,0.9354,0.9354,0.0,0.0,0.2917,0.4557,0.9038,0.0289,3.8205,72,48
45,baseline_hybrid,LSTM-Baseline,True,0.3673,1.0,0.225,0.6918,0.1167,0.4825,1.6492,0.9354,0.2908,68.909,0.0,0.2917,0.2792,1.0141,0.2242,3.9308,72,48
45,aftkd_fixed,LSTM-AF-TKD,False,0.4615,1.0,0.3,0.5584,0.0167,0.1227,0.2894,0.9866,0.9866,0.0,0.0,0.0417,1.7477,0.1721,0.0014,0.5888,72,48
45,aftkd_hybrid,LSTM-AF-TKD,True,0.4615,1.0,0.3,0.5579,0.0167,0.1668,0.3335,0.9866,0.3986,59.594,0.0,0.0417,1.1762,0.2378,0.0521,0.6544,72,48
46,baseline_fixed,LSTM-Baseline,False,0.3673,1.0,0.225,0.7028,0.0,0.1806,0.1806,0.9266,0.9266,0.0,0.0,0.0,0.6597,0.4449,0.0043,0.4449,72,48
46,baseline_hybrid,LSTM-Baseline,True,0.3562,1.0,0.2167,0.7022,0.0083,0.2425,0.3258,0.9266,0.3236,65.074,0.0139,0.0,0.5252,0.4579,0.2329,0.4579,72,48
46,aftkd_fixed,LSTM-AF-TKD,False,0.961,1.0,0.925,0.4463,0.0,0.0339,0.0339,1.1169,1.1169,0.0,0.0,0.0,1.0489,0.0,0.0333,0.0,72,48
46,aftkd_hybrid,LSTM-AF-TKD,True,0.961,1.0,0.925,0.4462,0.0,0.0425,0.0425,1.1169,0.5956,46.676,0.0,0.0,0.3545,0.0217,0.0448,0.0217,72,48
47,baseline_fixed,LSTM-Baseline,False,0.4314,1.0,0.275,0.6426,0.0,0.0286,0.0286,1.1337,1.1337,0.0,0.0,0.0,1.182,0.0499,0.0029,0.0499,72,48
47,baseline_hybrid,LSTM-Baseline,True,0.4314,1.0,0.275,0.6404,0.0,0.0634,0.0634,1.1337,0.3418,69.851,0.0,0.0,0.5816,0.0521,0.0637,0.0521,72,48
47,aftkd_fixed,LSTM-AF-TKD,False,0.8,1.0,0.6667,0.4833,0.0,0.0278,0.0278,1.1671,1.1671,0.0,0.0,0.0,1.4482,0.0174,0.0043,0.0174,72,48
47,aftkd_hybrid,LSTM-AF-TKD,True,0.8,1.0,0.6667,0.4827,0.0,0.0321,0.0321,1.1671,0.5547,52.468,0.0,0.0,0.651,0.0174,0.0333,0.0174,72,48
48,baseline_fixed,LSTM-Baseline,False,0.3893,1.0,0.2417,0.6813,0.0,0.1641,0.1641,0.3891,0.3891,0.0,0.0,0.0,0.6843,0.4036,0.0043,0.4036,72,48
48,baseline_hybrid,LSTM-Baseline,True,0.3893,1.0,0.2417,0.6806,0.0167,0.2004,0.3671,0.3891,0.1394,64.165,0.0139,0.0208,0.4644,0.41,0.1953,0.6184,72,48
48,aftkd_fixed,LSTM-AF-TKD,False,0.7755,1.0,0.6333,0.6516,0.0,0.0538,0.0538,0.3818,0.3818,0.0,0.0,0.0,0.8102,0.0543,0.042,0.0543,72,48
48,aftkd_hybrid,LSTM-AF-TKD,True,0.7755,1.0,0.6333,0.6513,0.0,0.0573,0.0573,0.3818,0.182,52.342,0.0,0.0,0.5946,0.0608,0.0521,0.0608,72,48
49,baseline_fixed,LSTM-Baseline,False,0.3217,1.0,0.1917,0.6962,0.075,0.2571,1.0071,0.3993,0.3993,0.0,0.0,0.1875,0.4876,0.6971,0.0188,2.5721,72,48
