episodio_idx,Seed,config_id,Modelo,Tipo,Omissao,TTDef
0,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
1,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
2,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
3,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
4,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
5,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
6,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
7,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
8,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
9,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
10,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
11,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
12,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
13,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
14,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
15,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
16,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
17,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
18,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
19,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
20,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
21,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
22,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
23,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
24,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
25,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
26,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
27,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
28,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
29,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
30,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
31,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
32,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
33,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
34,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
35,42,baseline_fixed,LSTM-Baseline,Progressive,False,0.008700
