seed,config_id,calibrator,gating,ece_before,ece_after,ece_delta,f1,precision,recall,fail_rate,ttd_det,ttdef,skip_pct,cost_ms_per_frame,lat_ms,h_strat_score,h_pre_mean,h_post_mean,h_stable_mean
42,baseline_ts_fixed,ts,False,0.01479,0.00789,0.00691,0.5,1.0,0.3333,0.0,0.0408,0.0408,0.0,0.3612,0.3612,0.8226,0.2847,0.2897,0.0514
42,baseline_ts_hybrid,ts,True,0.01478,0.00818,0.0066,0.5,1.0,0.3333,0.0,0.0443,0.0443,57.01,0.1553,0.3612,0.8742,0.274,0.2919,0.0367
42,baseline_ps_fixed,ps,False,0.01479,0.00801,0.00679,0.5,1.0,0.3333,0.0,0.0408,0.0408,0.0,0.3612,0.3612,0.8163,0.2872,0.2876,0.0528
42,baseline_ps_hybrid,ps,True,0.01478,0.00793,0.00685,0.5,1.0,0.3333,0.0,0.0443,0.0443,56.93,0.1556,0.3612,0.8693,0.2768,0.2898,0.0379
42,baseline_ic_fixed,ic,False,0.01479,0.00351,0.01128,0.5,1.0,0.3333,0.0,0.0399,0.0399,0.0,0.3612,0.3612,0.7889,0.3093,0.2824,0.0384
42,baseline_ic_hybrid,ic,True,0.01519,0.00456,0.01063,0.5,1.0,0.3333,0.0,0.0425,0.0425,59.41,0.1466,0.3612,0.8498,0.2873,0.2694,0.0252
43,baseline_ts_fixed,ts,False,0.04239,0.04362,-0.00124,0.3784,1.0,0.2333,0.0,0.0434,0.0434,0.0,0.6331,0.6331,0.6938,0.3122,0.4217,0.1291
43,baseline_ts_hybrid,ts,True,0.04319,0.04253,0.00065,0.3784,1.0,0.2333,0.0,0.0495,0.0495,44.11,0.3538,0.6331,0.7008,0.292,0.4246,0.1271
43,baseline_ps_fixed,ps,False,0.04239,0.02516,0.01722,0.3784,1.0,0.2333,0.0,0.0208,0.0208,0.0,0.6331,0.6331,0.5487,0.3669,0.3461,0.1447
43,baseline_ps_hybrid,ps,True,0.04622,0.02804,0.01818,0.3784,1.0,0.2333,0.0,0.0408,0.0408,63.67,0.23,0.6331,0.6238,0.3272,0.3377,0.127
43,baseline_ic_fixed,ic,False,0.04239,0.01092,0.03147,0.4,1.0,0.25,0.0,0.0009,0.0009,0.0,0.6331,0.6331,0.69,0.3948,0.3644,0.092
43,baseline_ic_hybrid,ic,True,0.04181,0.0144,0.02741,0.4211,1.0,0.2667,0.0,0.0043,0.0043,44.43,0.3518,0.6331,0.7673,0.3708,0.3717,0.0865
44,baseline_ts_fixed,ts,False,0.03283,0.03016,0.00267,0.3673,1.0,0.225,0.0167,0.1457,0.3123,0.0,0.5502,0.5502,0.8263,0.3008,0.3808,0.0662
44,baseline_ts_hybrid,ts,True,0.03877,0.0364,0.00237,0.3673,1.0,0.225,0.0167,0.226,0.3927,66.28,0.1855,0.5502,0.8451,0.2332,0.3755,0.0582
44,baseline_ps_fixed,ps,False,0.03283,0.01935,0.01348,0.4,1.0,0.25,0.0,0.0903,0.0903,0.0,0.5502,0.5502,0.7096,0.3311,0.3179,0.083
44,baseline_ps_hybrid,ps,True,0.03528,0.02233,0.01295,0.4106,1.0,0.2583,0.0,0.1372,0.1372,65.98,0.1872,0.5502,0.7562,0.2675,0.312,0.0761
44,baseline_ic_fixed,ic,False,0.03283,0.00632,0.02651,0.4211,1.0,0.2667,0.0,0.0278,0.0278,0.0,0.5502,0.5502,0.8255,0.3618,0.3258,0.0272
44,baseline_ic_hybrid,ic,True,0.03263,0.00816,0.02447,0.4211,1.0,0.2667,0.0,0.0408,0.0408,59.65,0.222,0.5502,0.8507,0.3477,0.3129,0.017
45,baseline_ts_fixed,ts,False,0.04962,0.03448,0.01514,0.5185,1.0,0.35,0.025,0.2831,0.5331,0.0,0.6141,0.6141,0.603,0.3441,0.4688,0.1861
45,baseline_ts_hybrid,ts,True,0.05836,0.04312,0.01524,0.6885,1.0,0.525,0.0833,0.4309,1.2642,67.98,0.1966,0.6141,0.6071,0.2692,0.4601,0.1808
45,baseline_ps_fixed,ps,False,0.04962,0.02106,0.02855,0.5965,1.0,0.425,0.0,0.1519,0.1519,0.0,0.6141,0.6141,0.4569,0.3847,0.3875,0.2105
45,baseline_ps_hybrid,ps,True,0.05268,0.0228,0.02988,0.5542,1.0,0.3833,0.0083,0.1829,0.2663,61.74,0.2349,0.6141,0.4559,0.3429,0.3769,0.205
45,baseline_ic_fixed,ic,False,0.04962,0.00937,0.04025,0.6957,1.0,0.5333,0.0,0.0764,0.0764,0.0,0.6141,0.6141,0.7732,0.4311,0.4358,0.0988
45,baseline_ic_hybrid,ic,True,0.05602,0.01685,0.03918,0.674,1.0,0.5083,0.0,0.1233,0.1233,64.95,0.2153,0.6141,0.8066,0.3444,0.4141,0.0801
