Seed,Config,Student,Metodo,Teacher,Params,F1,FailRate,ECE,TTDef,TTD_efetivo,TTD_bruto,TTD_Progressive,TTD_Abrupt,N_Progressive,N_Abrupt,Lat_ms
42,LSTM-Baseline,LSTM,Baseline,None,58242,0.554200,0.616700,0.659800,6.199700,0.033000,0.033000,0.010100,0.067300,72,48,2.673000
42,LSTM-AF-KD,LSTM,AF-KD,BiLSTM,58242,0.750000,0.400000,0.559300,4.517400,0.517400,0.517400,0.043400,1.228300,72,48,2.837100
42,LSTM-TransKD,LSTM,TransKD,Transformer,58242,0.811900,0.316700,0.529300,3.921000,0.754300,0.754300,0.020300,1.855500,72,48,6.087800
42,Transformer-Baseline,Transformer,Baseline,None,227810,0.032500,0.983300,0.744700,9.962400,1.602400,0.129100,0.263300,3.611100,72,48,17.582300
42,Transformer-AF-KD,Transformer,AF-KD,BiLSTM,227810,0.978900,0.033300,0.342500,0.383700,0.050300,0.050300,0.014500,0.104200,72,48,17.119700
43,LSTM-Baseline,LSTM,Baseline,None,58242,0.451600,0.708300,0.674300,7.090300,0.006900,0.006900,0.008700,0.004300,72,48,0.335000
43,LSTM-AF-KD,LSTM,AF-KD,BiLSTM,58242,1.000000,0.000000,0.617000,0.525200,0.525200,0.525200,0.034700,1.260900,72,48,0.320400
43,LSTM-TransKD,LSTM,TransKD,Transformer,58242,0.823500,0.300000,0.287400,3.291700,0.291700,0.291700,0.000000,0.729200,72,48,0.316900
43,Transformer-Baseline,Transformer,Baseline,None,227810,0.080000,0.958300,0.747800,10.176000,2.962700,0.592600,0.588800,6.523400,72,48,1.457500
43,Transformer-AF-KD,Transformer,AF-KD,BiLSTM,227810,0.016500,0.991700,0.759100,11.144000,4.569400,1.227400,2.997700,6.927100,72,48,1.459500
44,LSTM-Baseline,LSTM,Baseline,None,58242,0.389300,0.758300,0.678600,7.720700,0.368900,0.137400,0.015900,0.898400,72,48,0.407100
44,LSTM-AF-KD,LSTM,AF-KD,BiLSTM,58242,0.823500,0.300000,0.416200,3.001700,0.001700,0.001700,0.002900,0.000000,72,48,0.360600
44,LSTM-TransKD,LSTM,TransKD,Transformer,58242,0.970000,0.058300,0.439300,0.705700,0.122400,0.122400,0.008700,0.293000,72,48,0.394400
44,Transformer-Baseline,Transformer,Baseline,None,227810,0.048800,0.975000,0.748100,9.837400,1.625900,0.087400,1.403400,1.959600,72,48,1.734200
44,Transformer-AF-KD,Transformer,AF-KD,BiLSTM,227810,0.596500,0.575000,0.686800,7.538200,2.798600,1.788200,1.432300,4.848100,72,48,1.825600
45,LSTM-Baseline,LSTM,Baseline,None,58242,0.378400,0.766700,0.700900,7.881100,0.214400,0.214400,0.020300,0.505600,72,48,0.369800
45,LSTM-AF-KD,LSTM,AF-KD,BiLSTM,58242,0.750000,0.400000,0.660900,4.313400,0.313400,0.313400,0.002900,0.779100,72,48,0.371100
45,LSTM-TransKD,LSTM,TransKD,Transformer,58242,1.000000,0.000000,0.325000,0.171000,0.171000,0.171000,0.011600,0.410200,72,48,0.395900
45,Transformer-Baseline,Transformer,Baseline,None,227810,0.153800,0.916700,0.740200,9.278700,0.170100,0.112000,0.146100,0.206200,72,48,1.748700
45,Transformer-AF-KD,Transformer,AF-KD,BiLSTM,227810,0.846200,0.266700,0.600700,2.806400,0.139800,0.139800,0.075200,0.236500,72,48,1.673000
