Seed,Modelo,ThrEP,ThetaTTD,ThetaGlobal,ThetaAdapt,DerivDelta,DerivProbFloor,DerivSmoothW,HybridTauDelta,HybridTauH
42,LSTM-Baseline,0.050000,0.100000,0.100000,0.100000,0.002000,0.120000,5,0.021147,0.950000
42,LSTM-AF-KD,0.050000,0.120000,0.100000,0.120000,0.002000,0.150000,3,0.027426,0.950000
42,LSTM-TransKD,0.050000,0.200000,0.100000,0.200000,0.002000,0.180000,5,,
42,Transformer-Baseline,0.050000,0.100000,0.100000,0.080000,0.002000,0.100000,5,,
42,Transformer-AF-KD,0.050000,0.300000,0.100000,0.250000,0.002000,0.180000,5,0.019849,0.950000
43,LSTM-Baseline,0.050000,0.100000,0.100000,0.080000,0.002000,0.100000,5,0.027576,0.950000
43,LSTM-AF-KD,0.050000,0.250000,0.100000,0.250000,0.002000,0.180000,5,,
43,LSTM-TransKD,0.075000,0.200000,0.100000,0.200000,0.002000,0.180000,5,,
43,Transformer-Baseline,0.050000,0.100000,0.100000,0.080000,0.002000,0.100000,5,0.016663,0.400000
43,Transformer-AF-KD,0.050000,0.300000,0.100000,0.250000,0.002000,0.180000,5,0.015552,0.950000
44,LSTM-Baseline,0.050000,0.100000,0.120000,0.100000,0.002000,0.150000,5,,
44,LSTM-AF-KD,0.050000,0.200000,0.120000,0.200000,0.004000,0.180000,5,,
44,LSTM-TransKD,0.050000,0.200000,0.120000,0.200000,0.002000,0.180000,5,,
44,Transformer-Baseline,0.050000,0.120000,0.120000,0.080000,0.004000,0.100000,5,0.018637,0.400000
44,Transformer-AF-KD,0.050000,0.250000,0.120000,0.250000,0.002000,0.180000,5,0.018637,0.950000
45,LSTM-Baseline,0.050000,0.100000,0.100000,0.100000,0.002000,0.100000,5,0.016592,0.950000
45,LSTM-AF-KD,0.075000,0.150000,0.100000,0.150000,0.002000,0.150000,5,0.018840,0.950000
45,LSTM-TransKD,0.075000,0.180000,0.100000,0.150000,0.002000,0.180000,5,,
45,Transformer-Baseline,0.050000,0.100000,0.100000,0.080000,0.006000,0.100000,5,,
45,Transformer-AF-KD,0.050000,0.150000,0.100000,0.150000,0.002000,0.120000,5,0.018840,0.950000
