Seed,Modelo,Metodo,Teacher,Politica,F1,ECE,FailRate,TTD,TTDef,TTD_bruto,ThetaTTD,ThrEP,Lat_ms,SkipPct,Cost_ms_per_frame,ThetaTTD_Adapt,TTD_Adapt,DerivDelta,DerivProbFloor,DerivSmoothW,TTD_Deriv,N_Progressive,TTD_Progressive,FailRate_Progressive,TTD_Progressive_Adapt,TTD_Progressive_Deriv,N_Abrupt,TTD_Abrupt,FailRate_Abrupt,TTD_Abrupt_Adapt,TTD_Abrupt_Deriv
42,LSTM,Baseline,None,Fixa,0.868500,0.461600,0.091700,0.009500,0.926200,0.009500,0.100000,0.050000,1.083600,0.000000,1.083600,0.100000,0.009500,0.002000,0.120000,5,0.072900,72,0.000000,0.041700,0.000000,0.104200,48,0.023900,0.166700,0.023900,0.026000
42,LSTM,AF-KD,BiLSTM,Fixa,0.875900,0.323600,0.000000,0.000000,0.000000,0.000000,0.120000,0.050000,0.403500,0.000000,0.403500,0.120000,0.000000,0.002000,0.150000,3,0.703100,72,0.000000,0.000000,0.000000,1.154500,48,0.000000,0.000000,0.000000,0.026000
42,LSTM,TransKD,Transformer,Fixa,0.869600,0.326100,0.000000,0.000000,0.000000,0.000000,0.200000,0.050000,0.402000,0.000000,0.402000,0.200000,0.000000,0.002000,0.180000,5,0.201400,72,0.000000,0.000000,0.000000,0.318300,48,0.000000,0.000000,0.000000,0.026000
42,Transformer,Baseline,None,Fixa,0.800000,0.571000,0.333300,0.081600,3.414900,0.081600,0.100000,0.050000,1.380400,0.000000,1.380400,0.080000,0.071200,0.002000,0.100000,5,2.064200,72,0.134500,0.222200,0.118600,1.773700,48,0.002200,0.500000,0.000000,2.500000
42,Transformer,AF-KD,BiLSTM,Fixa,1.000000,0.443900,0.000000,0.000000,0.000000,0.000000,0.300000,0.050000,1.399300,0.000000,1.399300,0.250000,0.000000,0.002000,0.180000,5,0.185800,72,0.000000,0.000000,0.000000,0.164900,48,0.000000,0.000000,0.000000,0.217000
43,LSTM,Baseline,None,Fixa,0.839000,0.481500,0.175000,0.011300,1.761300,0.011300,0.100000,0.050000,1.429300,0.000000,1.429300,0.080000,0.009500,0.002000,0.100000,5,0.033000,72,0.000000,0.097200,0.000000,0.036200,48,0.028200,0.291700,0.023900,0.028200
43,LSTM,AF-KD,BiLSTM,Fixa,0.860700,0.368200,0.125000,0.000000,1.250000,0.000000,0.250000,0.050000,0.414900,0.000000,0.414900,0.250000,0.000000,0.002000,0.180000,5,0.770800,72,0.000000,0.000000,0.000000,1.267400,48,0.000000,0.312500,0.000000,0.026000
43,LSTM,TransKD,Transformer,Fixa,0.891400,0.331600,0.008300,0.000000,0.083300,0.000000,0.200000,0.075000,0.430200,0.000000,0.430200,0.200000,0.000000,0.002000,0.180000,5,0.727400,72,0.000000,0.000000,0.000000,1.195000,48,0.000000,0.020800,0.000000,0.026000
43,Transformer,Baseline,None,Fixa,0.811900,0.576700,0.316700,0.044300,3.210900,0.044300,0.100000,0.050000,1.424000,0.000000,1.424000,0.080000,0.030400,0.002000,0.100000,5,2.018200,72,0.043400,0.097200,0.028900,1.697000,48,0.045600,0.645800,0.032600,2.500000
43,Transformer,AF-KD,BiLSTM,Fixa,1.000000,0.472800,0.000000,0.000000,0.000000,0.000000,0.300000,0.050000,1.411500,0.000000,1.411500,0.250000,0.000000,0.002000,0.180000,5,0.217900,72,0.000000,0.000000,0.000000,0.185200,48,0.000000,0.000000,0.000000,0.266900
