m,modelo,F1,FR,TTD,seed
1,LSTM-Baseline,1.0,0.0,0.00955,42
1,LSTM-AF-KD,1.0,0.0,0.0,42
1,LSTM-TransKD,1.0,0.0,0.0,42
1,Transformer-Baseline,1.0,0.0,0.07986,42
1,Transformer-AF-KD,1.0,0.0,0.0,42
2,LSTM-Baseline,1.0,0.0,0.00955,42
2,LSTM-AF-KD,1.0,0.0,0.0,42
2,LSTM-TransKD,1.0,0.0,0.0,42
2,Transformer-Baseline,1.0,0.0,0.0816,42
2,Transformer-AF-KD,1.0,0.0,0.0,42
3,LSTM-Baseline,1.0,0.0,0.00955,42
3,LSTM-AF-KD,1.0,0.0,0.0,42
3,LSTM-TransKD,1.0,0.0,0.0,42
3,Transformer-Baseline,1.0,0.0,0.0816,42
3,Transformer-AF-KD,1.0,0.0,0.0,42
4,LSTM-Baseline,1.0,0.0,0.00955,42
4,LSTM-AF-KD,1.0,0.0,0.0,42
4,LSTM-TransKD,1.0,0.0,0.0,42
4,Transformer-Baseline,1.0,0.0,0.0816,42
4,Transformer-AF-KD,1.0,0.0,0.0,42
5,LSTM-Baseline,1.0,0.0,0.00955,42
5,LSTM-AF-KD,1.0,0.0,0.0,42
5,LSTM-TransKD,1.0,0.0,0.0,42
5,Transformer-Baseline,1.0,0.0,0.0816,42
5,Transformer-AF-KD,1.0,0.0,0.0,42
1,LSTM-Baseline,1.0,0.0,0.01128,43
1,LSTM-AF-KD,1.0,0.0,0.0,43
1,LSTM-TransKD,1.0,0.0,0.0,43
1,Transformer-Baseline,1.0,0.0,0.04427,43
1,Transformer-AF-KD,1.0,0.0,0.0,43
2,LSTM-Baseline,1.0,0.0,0.01128,43
2,LSTM-AF-KD,1.0,0.0,0.0,43
2,LSTM-TransKD,1.0,0.0,0.0,43
2,Transformer-Baseline,1.0,0.0,0.04427,43
2,Transformer-AF-KD,1.0,0.0,0.0,43
3,LSTM-Baseline,1.0,0.0,0.01128,43
3,LSTM-AF-KD,1.0,0.0,0.0,43
3,LSTM-TransKD,1.0,0.0,0.0,43
3,Transformer-Baseline,1.0,0.0,0.04427,43
3,Transformer-AF-KD,1.0,0.0,0.0,43
4,LSTM-Baseline,1.0,0.0,0.01128,43
4,LSTM-AF-KD,1.0,0.0,0.0,43
4,LSTM-TransKD,1.0,0.0,0.0,43
4,Transformer-Baseline,1.0,0.0,0.04427,43
4,Transformer-AF-KD,1.0,0.0,0.0,43
5,LSTM-Baseline,1.0,0.0,0.01128,43
5,LSTM-AF-KD,1.0,0.0,0.0,43
5,LSTM-TransKD,1.0,0.0,0.0,43
5,Transformer-Baseline,1.0,0.0,0.04427,43
5,Transformer-AF-KD,1.0,0.0,0.0,43
1,LSTM-Baseline,1.0,0.0,0.0026,44
1,LSTM-AF-KD,1.0,0.0,0.0,44
1,LSTM-TransKD,1.0,0.0,0.0,44
1,Transformer-Baseline,1.0,0.0,0.00087,44
1,Transformer-AF-KD,1.0,0.0,0.0,44
2,LSTM-Baseline,1.0,0.0,0.0026,44
2,LSTM-AF-KD,1.0,0.0,0.0,44
2,LSTM-TransKD,1.0,0.0,0.0,44
2,Transformer-Baseline,1.0,0.0,0.00087,44
2,Transformer-AF-KD,1.0,0.0,0.0,44
3,LSTM-Baseline,1.0,0.0,0.0026,44
3,LSTM-AF-KD,1.0,0.0,0.0,44
3,LSTM-TransKD,1.0,0.0,0.0,44
3,Transformer-Baseline,1.0,0.0,0.00087,44
3,Transformer-AF-KD,1.0,0.0,0.0,44
4,LSTM-Baseline,1.0,0.0,0.0026,44
4,LSTM-AF-KD,1.0,0.0,0.0,44
4,LSTM-TransKD,1.0,0.0,0.0,44
4,Transformer-Baseline,1.0,0.0,0.00087,44
4,Transformer-AF-KD,1.0,0.0,0.0,44
5,LSTM-Baseline,1.0,0.0,0.0026,44
5,LSTM-AF-KD,1.0,0.0,0.0,44
5,LSTM-TransKD,1.0,0.0,0.0,44
5,Transformer-Baseline,1.0,0.0,0.00087,44
5,Transformer-AF-KD,1.0,0.0,0.0,44
1,LSTM-Baseline,1.0,0.0,0.00955,45
1,LSTM-AF-KD,1.0,0.0,0.0,45
1,LSTM-TransKD,1.0,0.0,0.0,45
1,Transformer-Baseline,1.0,0.0,0.03385,45
1,Transformer-AF-KD,1.0,0.0,0.0,45
2,LSTM-Baseline,1.0,0.0,0.00955,45
2,LSTM-AF-KD,1.0,0.0,0.0,45
2,LSTM-TransKD,1.0,0.0,0.0,45
2,Transformer-Baseline,1.0,0.0,0.03385,45
2,Transformer-AF-KD,1.0,0.0,0.0,45
3,LSTM-Baseline,1.0,0.0,0.00955,45
3,LSTM-AF-KD,1.0,0.0,0.0,45
3,LSTM-TransKD,1.0,0.0,0.0,45
3,Transformer-Baseline,1.0,0.0,0.03385,45
3,Transformer-AF-KD,1.0,0.0,0.0,45
4,LSTM-Baseline,1.0,0.0,0.00955,45
4,LSTM-AF-KD,1.0,0.0,0.0,45
4,LSTM-TransKD,1.0,0.0,0.0,45
4,Transformer-Baseline,1.0,0.0,0.03385,45
4,Transformer-AF-KD,1.0,0.0,0.0,45
5,LSTM-Baseline,1.0,0.0,0.00955,45
5,LSTM-AF-KD,1.0,0.0,0.0,45
5,LSTM-TransKD,1.0,0.0,0.0,45
5,Transformer-Baseline,1.0,0.0,0.03385,45
5,Transformer-AF-KD,1.0,0.0,0.0,45
