theta,modelo,FailRate,TTD_bruto_s,TTD_efetivo_s
0.05,LSTM-Baseline,0.0,0.0,0.0
0.05,LSTM-AF-KD,0.0,0.0,0.0
0.05,LSTM-TransKD,0.0,0.0,0.0
0.05,Transformer-Baseline,0.0,0.04948,0.04948
0.05,Transformer-AF-KD,0.0,0.0,0.0
0.082,LSTM-Baseline,0.0,0.00955,0.00955
0.082,LSTM-AF-KD,0.0,0.0,0.0
0.082,LSTM-TransKD,0.0,0.0,0.0
0.082,Transformer-Baseline,0.0,0.07465,0.07465
0.082,Transformer-AF-KD,0.0,0.0,0.0
0.115,LSTM-Baseline,0.0,0.00955,0.00955
0.115,LSTM-AF-KD,0.0,0.0,0.0
0.115,LSTM-TransKD,0.0,0.0,0.0
0.115,Transformer-Baseline,0.0,0.09549,0.09549
0.115,Transformer-AF-KD,0.0,0.0,0.0
0.147,LSTM-Baseline,0.0,0.01476,0.01476
0.147,LSTM-AF-KD,0.0,0.00174,0.00174
0.147,LSTM-TransKD,0.0,0.0,0.0
0.147,Transformer-Baseline,0.0,0.11285,0.11285
0.147,Transformer-AF-KD,0.0,0.0,0.0
0.179,LSTM-Baseline,0.0,0.02778,0.02778
0.179,LSTM-AF-KD,0.0,0.05642,0.05642
0.179,LSTM-TransKD,0.0,0.0,0.0
0.179,Transformer-Baseline,0.0,0.12066,0.12066
0.179,Transformer-AF-KD,0.0,0.0,0.0
0.212,LSTM-Baseline,0.0,0.03906,0.03906
0.212,LSTM-AF-KD,0.0,0.08681,0.08681
0.212,LSTM-TransKD,0.0,0.0026,0.0026
0.212,Transformer-Baseline,0.0,0.1276,0.1276
0.212,Transformer-AF-KD,0.0,0.0,0.0
0.244,LSTM-Baseline,0.0,0.04948,0.04948
0.244,LSTM-AF-KD,0.0,0.11458,0.11458
0.244,LSTM-TransKD,0.0,0.03993,0.03993
0.244,Transformer-Baseline,0.0,0.13281,0.13281
0.244,Transformer-AF-KD,0.0,0.0,0.0
0.276,LSTM-Baseline,0.0,0.05729,0.05729
0.276,LSTM-AF-KD,0.0,0.15365,0.15365
0.276,LSTM-TransKD,0.0,0.05903,0.05903
0.276,Transformer-Baseline,0.0,0.13889,0.13889
0.276,Transformer-AF-KD,0.0,0.0,0.0
0.309,LSTM-Baseline,0.0,0.06597,0.06597
0.309,LSTM-AF-KD,0.0,0.19878,0.19878
0.309,LSTM-TransKD,0.0,0.06424,0.06424
0.309,Transformer-Baseline,0.0,0.14236,0.14236
0.309,Transformer-AF-KD,0.0,0.0,0.0
0.341,LSTM-Baseline,0.0,0.07639,0.07639
0.341,LSTM-AF-KD,0.0,0.26302,0.26302
0.341,LSTM-TransKD,0.0,0.0816,0.0816
0.341,Transformer-Baseline,0.0,0.15278,0.15278
0.341,Transformer-AF-KD,0.0,0.0,0.0
0.374,LSTM-Baseline,0.0,0.0842,0.0842
0.374,LSTM-AF-KD,0.0,0.3724,0.3724
0.374,LSTM-TransKD,0.0,0.09635,0.09635
0.374,Transformer-Baseline,0.0,0.15712,0.15712
0.374,Transformer-AF-KD,0.0,0.00434,0.00434
0.406,LSTM-Baseline,0.0,0.09375,0.09375
0.406,LSTM-AF-KD,0.0,0.53299,0.53299
0.406,LSTM-TransKD,0.0,0.10677,0.10677
0.406,Transformer-Baseline,0.0,0.15972,0.15972
0.406,Transformer-AF-KD,0.0,0.17101,0.17101
0.438,LSTM-Baseline,0.0,0.1033,0.1033
0.438,LSTM-AF-KD,0.0,0.61806,0.61806
0.438,LSTM-TransKD,0.0,0.13194,0.13194
0.438,Transformer-Baseline,0.0,0.1658,0.1658
0.438,Transformer-AF-KD,0.0,0.41493,0.41493
0.471,LSTM-Baseline,0.0,0.11285,0.11285
0.471,LSTM-AF-KD,0.0,0.65017,0.65017
0.471,LSTM-TransKD,0.0,0.15799,0.15799
0.471,Transformer-Baseline,0.0,0.17795,0.17795
0.471,Transformer-AF-KD,0.0,0.4592,0.4592
0.503,LSTM-Baseline,0.0,0.13368,0.13368
0.503,LSTM-AF-KD,0.0,0.66753,0.66753
0.503,LSTM-TransKD,0.0,0.19531,0.19531
0.503,Transformer-Baseline,0.0,0.18663,0.18663
0.503,Transformer-AF-KD,0.0,0.48698,0.48698
0.535,LSTM-Baseline,0.0,0.15799,0.15799
0.535,LSTM-AF-KD,0.0,0.6875,0.6875
0.535,LSTM-TransKD,0.0,0.24392,0.24392
0.535,Transformer-Baseline,0.0,0.19184,0.19184
0.535,Transformer-AF-KD,0.0,0.4974,0.4974
0.568,LSTM-Baseline,0.0,0.18663,0.18663
0.568,LSTM-AF-KD,0.0,0.71181,0.71181
0.568,LSTM-TransKD,0.0,0.33767,0.33767
0.568,Transformer-Baseline,0.0,0.19792,0.19792
0.568,Transformer-AF-KD,0.0,0.5408,0.5408
0.6,LSTM-Baseline,0.0,0.21007,0.21007
0.6,LSTM-AF-KD,0.0,0.75608,0.75608
0.6,LSTM-TransKD,0.0,0.57031,0.57031
0.6,Transformer-Baseline,0.0,0.20573,0.20573
0.6,Transformer-AF-KD,0.0,0.61372,0.61372
