m,modelo,F1,FR,TTD
1,LSTM-Baseline,1.0,0.0,0.00955
1,LSTM-AF-KD,1.0,0.0,0.0
1,LSTM-TransKD,1.0,0.0,0.0
1,Transformer-Baseline,1.0,0.0,0.07986
1,Transformer-AF-KD,1.0,0.0,0.0
2,LSTM-Baseline,1.0,0.0,0.00955
2,LSTM-AF-KD,1.0,0.0,0.0
2,LSTM-TransKD,1.0,0.0,0.0
2,Transformer-Baseline,1.0,0.0,0.0816
2,Transformer-AF-KD,1.0,0.0,0.0
3,LSTM-Baseline,1.0,0.0,0.00955
3,LSTM-AF-KD,1.0,0.0,0.0
3,LSTM-TransKD,1.0,0.0,0.0
3,Transformer-Baseline,1.0,0.0,0.0816
3,Transformer-AF-KD,1.0,0.0,0.0
4,LSTM-Baseline,1.0,0.0,0.00955
4,LSTM-AF-KD,1.0,0.0,0.0
4,LSTM-TransKD,1.0,0.0,0.0
4,Transformer-Baseline,1.0,0.0,0.0816
4,Transformer-AF-KD,1.0,0.0,0.0
5,LSTM-Baseline,1.0,0.0,0.00955
5,LSTM-AF-KD,1.0,0.0,0.0
5,LSTM-TransKD,1.0,0.0,0.0
5,Transformer-Baseline,1.0,0.0,0.0816
5,Transformer-AF-KD,1.0,0.0,0.0
