seed,modelo,t_s,coverage
45,LSTM-Baseline,0.00000,0.90833
45,LSTM-Baseline,0.03410,0.90833
45,LSTM-Baseline,0.06820,0.90833
45,LSTM-Baseline,0.10230,0.90833
45,LSTM-Baseline,0.13650,1.00000
45,LSTM-Baseline,0.17060,1.00000
45,LSTM-Baseline,0.20470,1.00000
45,LSTM-Baseline,0.23880,1.00000
45,LSTM-Baseline,0.27290,1.00000
45,LSTM-Baseline,0.30700,1.00000
45,LSTM-Baseline,0.34110,1.00000
45,LSTM-Baseline,0.37530,1.00000
45,LSTM-Baseline,0.40940,1.00000
45,LSTM-Baseline,0.44350,1.00000
45,LSTM-Baseline,0.47760,1.00000
45,LSTM-Baseline,0.51170,1.00000
45,LSTM-Baseline,0.54580,1.00000
45,LSTM-Baseline,0.57990,1.00000
45,LSTM-Baseline,0.61400,1.00000
45,LSTM-Baseline,0.64820,1.00000
45,LSTM-Baseline,0.68230,1.00000
45,LSTM-Baseline,0.71640,1.00000
45,LSTM-Baseline,0.75050,1.00000
45,LSTM-Baseline,0.78460,1.00000
45,LSTM-Baseline,0.81870,1.00000
45,LSTM-Baseline,0.85280,1.00000
45,LSTM-Baseline,0.88700,1.00000
45,LSTM-Baseline,0.92110,1.00000
45,LSTM-Baseline,0.95520,1.00000
45,LSTM-Baseline,0.98930,1.00000
45,LSTM-Baseline,1.02340,1.00000
45,LSTM-Baseline,1.05750,1.00000
45,LSTM-Baseline,1.09160,1.00000
45,LSTM-Baseline,1.12580,1.00000
45,LSTM-Baseline,1.15990,1.00000
45,LSTM-Baseline,1.19400,1.00000
45,LSTM-Baseline,1.22810,1.00000
45,LSTM-Baseline,1.26220,1.00000
45,LSTM-Baseline,1.29630,1.00000
45,LSTM-Baseline,1.33040,1.00000
45,LSTM-Baseline,1.36450,1.00000
45,LSTM-Baseline,1.39870,1.00000
45,LSTM-Baseline,1.43280,1.00000
45,LSTM-Baseline,1.46690,1.00000
45,LSTM-Baseline,1.50100,1.00000
45,LSTM-Baseline,1.53510,1.00000
45,LSTM-Baseline,1.56920,1.00000
45,LSTM-Baseline,1.60330,1.00000
45,LSTM-Baseline,1.63750,1.00000
45,LSTM-Baseline,1.67160,1.00000
45,LSTM-Baseline,1.70570,1.00000
45,LSTM-Baseline,1.73980,1.00000
45,LSTM-Baseline,1.77390,1.00000
45,LSTM-Baseline,1.80800,1.00000
