seed,config,episode_id,risk_level,categoria,recipe,t,time_s,p_t,y_frame_clean,p_max_episode
42,baseline_fixed,0,Crítico,Critico,C03,0,0.0,0.036692,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,1,0.1042,0.036931,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,2,0.2083,0.037237,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,3,0.3125,0.038023,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,4,0.4167,0.038847,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,5,0.5208,0.039853,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,6,0.625,0.040826,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,7,0.7292,0.041244,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,8,0.8333,0.041468,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,9,0.9375,0.041726,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,10,1.0417,0.041564,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,11,1.1458,0.041041,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,12,1.25,0.0404,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,13,1.3542,0.039674,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,14,1.4583,0.038792,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,15,1.5625,0.03813,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,16,1.6667,0.037528,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,17,1.7708,0.037145,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,18,1.875,0.037316,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,19,1.9792,0.037655,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,20,2.0833,0.038061,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,21,2.1875,0.038947,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,22,2.2917,0.039621,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,23,2.3958,0.039991,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,24,2.5,0.040478,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,25,2.6042,0.041966,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,26,2.7083,0.065078,0.100558,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,27,2.8125,0.143814,0.215403,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,28,2.9167,0.342443,0.388787,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,29,3.0208,0.591513,0.561846,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,30,3.125,0.756852,0.710349,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,31,3.2292,0.844856,0.827807,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,32,3.3333,0.89216,0.909085,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,33,3.4375,0.913231,0.950632,0.927198
