id;recipe_id;nome;categoria;class_name;risk_episode;risk_episode_severity;regime;event_start;event_end;event_duration;progressive;detectable_start_035;onset_gap_035;persistent_tail;last6_mean_clean;mean_eye_gaze;mean_lane_offset;window;sensor_level
C02;C02;Critico: Fadiga com desvio cinematico;Critico;Critico;0.39378328174352645;0.39378328174352645;R2_STABLE_RISK;29;50;22;0;32;3;0;0.05000000819563866;0.09091880917549133;0.0903293564915657;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.02770122140645981;0.09885109215974808;96;4
C02;C02;Critico: Fadiga com desvio cinematico;Critico;Critico;0.5875039428472518;0.5875039428472518;R2_STABLE_RISK;29;50;22;0;32;3;1;0.18405123054981232;0.09635615348815918;0.18803369998931885;96;4
C01;C01;Critico: Celular em alta velocidade;Critico;Critico;0.29102678298950196;0.29102678298950196;R1_NORMAL;32;44;13;0;34;2;0;0.05000000819563866;0.14640219509601593;0.09267038851976395;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.030369171872735023;0.09703939408063889;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.44720589518547055;0.44720589518547055;R1_NORMAL;36;81;46;1;58;22;0;0.05000000819563866;0.16092529892921448;0.15337873995304108;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.032633695751428604;0.08906859904527664;96;4
C08;C08;Critico progressivo: Distracao urbana multietapas;Critico;Critico;0.4219983220100403;0.4219983220100403;R2_STABLE_RISK;28;77;50;1;58;30;0;0.05000000819563866;0.3140636384487152;0.14728905260562897;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.3713889718055725;0.3713889718055725;R3_FALSE_KIN;22;45;24;0;24;2;0;0.05000000819563866;0.2039257287979126;0.1127454861998558;96;4
C02;C02;Critico: Fadiga com desvio cinematico;Critico;Critico;0.5982222288846969;0.5982222288846969;R1_NORMAL;29;50;22;0;32;3;1;0.25132420659065247;0.10052371770143509;0.16504721343517303;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R3_FALSE_KIN;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.036387622356414795;0.09621400386095047;96;4
C07;C07;Critico progressivo: Sem cinto sob chuva;Critico;Critico;0.4872351825237274;0.4872351825237274;R1_NORMAL;37;75;39;1;60;23;1;0.2817811667919159;0.38105666637420654;0.12248057126998901;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.4043656781315803;0.4043656781315803;R1_NORMAL;40;81;42;1;62;22;0;0.05000000819563866;0.20103006064891815;0.11645547300577164;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R2_STABLE_RISK;26;41;16;0;28;2;0;0.05000000819563866;0.18606139719486237;0.11615868657827377;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.37143760919570923;0.37143760919570923;R2_STABLE_RISK;42;73;32;1;59;17;0;0.05000000819563866;0.3146078288555145;0.129836305975914;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.3856583178043365;0.3856583178043365;R1_NORMAL;42;73;32;1;58;16;0;0.05000000819563866;0.31794121861457825;0.13738445937633514;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.5789041608572005;0.5789041608572005;R2_STABLE_RISK;22;45;24;0;24;2;1;0.27126291394233704;0.20313429832458496;0.20004236698150635;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.030879780650138855;0.09004262834787369;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03482560068368912;0.10227162390947342;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.43323457837104795;0.43323457837104795;R1_NORMAL;40;81;42;1;59;19;0;0.05000000819563866;0.2074490338563919;0.14980606734752655;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.032888177782297134;0.08281170576810837;96;4
