seed,config,episode_id,regime,recipe,is_critical,t0_frame,t0_time_s,t,time_s,p_t,H_t,is_suppressed,y_frame_clean,phase
42,baseline_fixed,0,normal,N02,0,-1,,0,0.0,0.036986,0.158245,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,1,0.1042,0.037236,0.159058,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,2,0.2083,0.037703,0.160575,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,3,0.3125,0.038508,0.163173,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,4,0.4167,0.039138,0.165196,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,5,0.5208,0.040054,0.168117,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,6,0.625,0.040465,0.16942,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,7,0.7292,0.040522,0.169599,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,8,0.8333,0.040314,0.16894,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,9,0.9375,0.039838,0.167428,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,10,1.0417,0.039141,0.165204,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,11,1.1458,0.038449,0.162983,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,12,1.25,0.037542,0.160052,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,13,1.3542,0.036971,0.158195,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,14,1.4583,0.036675,0.157228,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,15,1.5625,0.037077,0.158541,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,16,1.6667,0.037436,0.159709,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,17,1.7708,0.037832,0.160992,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,18,1.875,0.03821,0.162212,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,19,1.9792,0.038624,0.163546,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,20,2.0833,0.039102,0.165081,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,21,2.1875,0.039436,0.166149,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,22,2.2917,0.039773,0.167222,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,23,2.3958,0.040145,0.168405,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,24,2.5,0.040336,0.16901,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,25,2.6042,0.04004,0.168073,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,26,2.7083,0.039448,0.166187,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,27,2.8125,0.038542,0.163282,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,28,2.9167,0.037904,0.161226,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,29,3.0208,0.037597,0.160231,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,30,3.125,0.03757,0.160142,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,31,3.2292,0.037888,0.161172,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,32,3.3333,0.038153,0.162029,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,33,3.4375,0.038774,0.164028,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,34,3.5417,0.039245,0.165537,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,35,3.6458,0.039333,0.165818,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,36,3.75,0.038854,0.164285,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,37,3.8542,0.038386,0.16278,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,38,3.9583,0.038178,0.16211,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,39,4.0625,0.038389,0.162789,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,40,4.1667,0.038951,0.164597,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,41,4.2708,0.039383,0.165978,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,42,4.375,0.039514,0.166398,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,43,4.4792,0.039394,0.166015,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,44,4.5833,0.039187,0.165353,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,45,4.6875,0.038765,0.163998,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,46,4.7917,0.038161,0.162056,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,47,4.8958,0.037663,0.160446,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,48,5.0,0.037475,0.159835,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,49,5.1042,0.037243,0.159081,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,50,5.2083,0.037223,0.159017,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,51,5.3125,0.037307,0.15929,-1,0.05,normal
42,baseline_fixed,0,normal,N02,0,-1,,52,5.4167,0.037522,0.159986,-1,0.05,normal
