id;recipe_id;nome;categoria;class_name;risk_episode;risk_episode_severity;regime;event_start;event_end;event_duration;progressive;detectable_start_035;onset_gap_035;persistent_tail;last6_mean_clean;mean_eye_gaze;mean_lane_offset;window;sensor_level
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03348281979560852;0.09153598546981812;96;4
C08;C08;Critico progressivo: Distracao urbana multietapas;Critico;Critico;0.4029333874583244;0.4029333874583244;R1_NORMAL;28;77;50;1;54;26;0;0.05000000819563866;0.31274136900901794;0.1261591762304306;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R2_STABLE_RISK;26;41;16;0;28;2;0;0.05000000819563866;0.1826804131269455;0.11871499568223953;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.032308805733919144;0.10268646478652954;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.39022142142057414;0.39022142142057414;R1_NORMAL;38;73;36;1;58;20;0;0.05000000819563866;0.24383406341075897;0.121404267847538;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.41652884483337405;0.41652884483337405;R2_STABLE_RISK;42;73;32;1;58;16;0;0.05000000819563866;0.3204025328159332;0.1117931380867958;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.4013331666588783;0.4013331666588783;R3_FALSE_KIN;38;73;36;1;57;19;0;0.05000000819563866;0.2502022683620453;0.10759230703115463;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.41517203599214547;0.41517203599214547;R1_NORMAL;36;81;46;1;58;22;0;0.05000000819563866;0.15729619562625885;0.10346723347902298;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.39935586899518966;0.39935586899518966;R1_NORMAL;38;73;36;1;60;22;0;0.05000000819563866;0.25166210532188416;0.1262749582529068;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.4374448582530021;0.4374448582530021;R2_STABLE_RISK;40;81;42;1;57;17;0;0.05000000819563866;0.19516420364379883;0.13358835875988007;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R1_NORMAL;26;41;16;0;28;2;0;0.05000000819563866;0.18915869295597076;0.10675555467605591;96;4
