arm,seed,F1,ECE,FR,TTDef,SupPct,FR_hyb,TTDef_hyb
mechabl_notemp,42,0.8922,0.6367,0.0,0.1519,60.38,0.0,0.1892
mechabl_notemp,43,0.8696,0.6446,0.0,0.151,60.65,0.0,0.2101
mechabl_notemp,44,0.8989,0.6453,0.0,0.1467,54.99,0.0,0.1979
mechabl_notemp,45,0.9125,0.62,0.0,0.1536,47.03,0.0,0.1762
mechabl_notemp,46,0.9266,0.6255,0.0,0.1042,50.72,0.0,0.1276
mechabl_notemp,47,0.8559,0.6524,0.1583,1.7005,83.53,0.0083,0.4835
mechabl_notemp,48,0.8696,0.641,0.0,0.0625,53.17,0.0,0.0668
mechabl_notemp,49,0.8696,0.6453,0.0,0.1007,61.73,0.0,0.1328
mechabl_notemp,50,0.8696,0.6349,0.0,0.0851,62.23,0.0,0.145
mechabl_notemp,51,0.8696,0.6577,0.0,0.1024,53.37,0.0,0.1172
mechabl_notemp,52,0.8696,0.6398,0.0,0.0998,55.65,0.0,0.1337
mechabl_notemp,53,0.8989,0.6616,0.0,0.138,64.37,0.0,0.1849
mechabl_a005,42,0.9323,0.5047,0.025,0.3637,39.88,0.0,0.1259
mechabl_a005,43,0.9266,0.5279,0.0,0.1033,61.75,0.0,0.3082
mechabl_a005,44,0.8696,0.5448,0.0,0.066,42.79,0.0,0.0755
mechabl_a005,45,0.8696,0.507,0.0,0.0104,42.85,0.0,0.0104
mechabl_a005,46,0.9328,0.496,0.0167,0.1667,62.57,0.0,0.0
mechabl_a005,47,0.9717,0.5182,0.0,0.0634,51.71,0.0,0.1137
mechabl_a005,48,0.9231,0.5408,0.0,0.0017,40.43,0.0,0.0017
mechabl_a005,49,0.8696,0.5506,0.0,0.0634,42.67,0.0,0.0677
mechabl_a005,50,0.8837,0.5212,0.05,0.5,65.78,0.0,0.0
mechabl_a005,51,0.8989,0.552,0.0,0.0,53.41,0.0,0.0
mechabl_a005,52,0.8696,0.5452,0.0,0.0104,42.1,0.0,0.0104
mechabl_a005,53,0.8759,0.5292,0.0,0.0,55.48,0.0,0.0
mechabl_a015,42,0.9302,0.5113,0.0,0.0911,40.12,0.0,0.1068
mechabl_a015,43,0.9195,0.5365,0.0,0.0703,66.26,0.0,0.3359
mechabl_a015,44,0.8966,0.549,0.025,0.283,65.4,0.0,0.072
mechabl_a015,45,0.8696,0.5127,0.0,0.0026,42.74,0.0,0.0026
mechabl_a015,46,0.9057,0.501,0.0,0.0,42.16,0.0,0.0
mechabl_a015,47,0.9677,0.5287,0.0,0.0356,38.47,0.0,0.0486
mechabl_a015,48,0.9023,0.5389,0.0,0.0,40.4,0.0,0.0
mechabl_a015,49,0.8696,0.558,0.0,0.0391,42.82,0.0,0.0451
mechabl_a015,50,0.8696,0.5273,0.0,0.0,40.83,0.0,0.0
mechabl_a015,51,0.8696,0.5276,0.0,0.0,53.4,0.0,0.0
mechabl_a015,52,0.8696,0.5511,0.0,0.0,42.34,0.0,0.0
mechabl_a015,53,0.8696,0.5243,0.0,0.0,55.36,0.0,0.0
mechabl_a030,42,0.9206,0.5193,0.0333,0.3585,63.78,0.0,0.072
mechabl_a030,43,0.8968,0.5401,0.0583,0.6059,54.34,0.0167,0.2057
mechabl_a030,44,0.8824,0.5513,0.0,0.0104,42.84,0.0,0.013
mechabl_a030,45,0.9023,0.5259,0.0,0.0,42.82,0.0,0.0
mechabl_a030,46,0.8824,0.5002,0.0,0.0,42.36,0.0,0.0
mechabl_a030,47,0.8955,0.5382,0.0,0.0122,39.14,0.0,0.0174
mechabl_a030,48,0.8696,0.5287,0.0,0.0,40.47,0.0,0.0
mechabl_a030,49,0.8682,0.5548,0.0667,0.6892,64.82,0.0,0.0486
mechabl_a030,50,0.8696,0.5326,0.0,0.0,41.31,0.0,0.0
mechabl_a030,51,0.8696,0.5267,0.0,0.0,53.41,0.0,0.0
mechabl_a030,52,0.8931,0.5543,0.025,0.25,42.58,0.0,0.0
mechabl_a030,53,0.8696,0.5232,0.0,0.0,55.4,0.0,0.0
mechabl_a050,42,0.8922,0.5516,0.0,0.0,53.04,0.0,0.0
mechabl_a050,43,0.9077,0.5409,0.0167,0.1753,41.36,0.0083,0.092
mechabl_a050,44,0.8989,0.5439,0.0,0.0,54.11,0.0,0.0
mechabl_a050,45,0.8696,0.5228,0.0,0.0,43.61,0.0,0.0
mechabl_a050,46,0.9328,0.504,0.0167,0.1667,63.96,0.0,0.0
mechabl_a050,47,0.9378,0.5438,0.0583,0.5833,54.03,0.0,0.0009
mechabl_a050,48,0.8696,0.5081,0.0,0.0,53.41,0.0,0.0
mechabl_a050,49,0.8955,0.5536,0.0,0.0174,42.99,0.0,0.0174
mechabl_a050,50,0.8696,0.5387,0.0,0.0,41.86,0.0,0.0
mechabl_a050,51,0.8696,0.5272,0.0,0.0,53.46,0.0,0.0
mechabl_a050,52,0.8889,0.568,0.0,0.0,43.22,0.0,0.0
mechabl_a050,53,0.8696,0.5231,0.0,0.0,55.48,0.0,0.0
