feasible,fr,method,n_crit,point,seed,sup,tau_d,tau_h,theta,traj,ttd,ttdef
True,0.0,Confidence-threshold gate,120,safe,42,0.014890491452991452,,0.15,0.1,Baseline,0.0034722222222222225,0.0034722222222222225
True,0.0,Smoothed-entropy gate (w=5),120,safe,42,0.01014957264957265,,0.15,0.1,Baseline,0.0034722222222222225,0.0034722222222222225
True,0.0,Entropy+kinematic gate (MHEG-style),120,safe,42,0.9362980769230769,0.05,0.95,0.1,Baseline,0.2230902777777778,0.2230902777777778
True,0.0,Confidence-threshold gate,120,safe,42,0.0,,0.05,0.1,AF-TOI,0.09114583333333333,0.09114583333333333
True,0.0,Smoothed-entropy gate (w=5),120,safe,42,0.0,,0.05,0.1,AF-TOI,0.09114583333333333,0.09114583333333333
True,0.016666666666666666,Entropy+kinematic gate (MHEG-style),120,safe,42,0.6740785256410257,0.05,0.95,0.1,AF-TOI,0.4184322033898305,0.5850988700564972
False,0.9833333333333333,Confidence-threshold gate,120,matched,42,0.9707532051282052,,0.25,0.1,Baseline,,9.833333333333332
False,0.9833333333333333,Smoothed-entropy gate (w=5),120,matched,42,0.9696180555555556,,0.25,0.1,Baseline,,9.833333333333332
False,0.675,Confidence-threshold gate,120,matched,42,0.6888354700854701,,0.43,0.1,AF-TOI,,6.75
False,0.675,Smoothed-entropy gate (w=5),120,matched,42,0.6885683760683761,,0.43,0.1,AF-TOI,,6.75
True,0.0,Confidence-threshold gate,120,safe,43,0.0,,0.05,0.1,Baseline,0.008680555555555556,0.008680555555555556
True,0.0,Smoothed-entropy gate (w=5),120,safe,43,0.0,,0.05,0.1,Baseline,0.008680555555555556,0.008680555555555556
True,0.0,Entropy+kinematic gate (MHEG-style),120,safe,43,0.9357638888888888,0.05,0.95,0.1,Baseline,0.21701388888888892,0.21701388888888892
True,0.0,Confidence-threshold gate,120,safe,43,0.0,,0.05,0.1,AF-TOI,0.030381944444444444,0.030381944444444444
True,0.0,Smoothed-entropy gate (w=5),120,safe,43,0.0,,0.05,0.1,AF-TOI,0.030381944444444444,0.030381944444444444
True,0.008333333333333333,Entropy+kinematic gate (MHEG-style),120,safe,43,0.6833600427350427,0.05,0.95,0.1,AF-TOI,0.24859943977591034,0.3319327731092437
False,0.9916666666666667,Confidence-threshold gate,120,matched,43,0.9680822649572649,,0.25,0.1,Baseline,,9.916666666666668
False,0.9916666666666667,Smoothed-entropy gate (w=5),120,matched,43,0.9652777777777778,,0.25,0.1,Baseline,,9.916666666666668
False,0.7083333333333334,Confidence-threshold gate,120,matched,43,0.7180154914529915,,0.41,0.1,AF-TOI,,7.086309523809525
False,0.7083333333333334,Smoothed-entropy gate (w=5),120,matched,43,0.7173477564102564,,0.41,0.1,AF-TOI,,7.086309523809525
True,0.0,Confidence-threshold gate,120,safe,44,0.0,,0.05,0.1,Baseline,0.02430555555555556,0.02430555555555556
True,0.0,Smoothed-entropy gate (w=5),120,safe,44,0.0,,0.05,0.1,Baseline,0.02430555555555556,0.02430555555555556
True,0.0,Entropy+kinematic gate (MHEG-style),120,safe,44,0.9363648504273504,0.05,0.95,0.1,Baseline,0.1857638888888889,0.1857638888888889
True,0.0,Confidence-threshold gate,120,safe,44,0.0,,0.05,0.1,AF-TOI,0.03298611111111111,0.03298611111111111
True,0.0,Smoothed-entropy gate (w=5),120,safe,44,0.0,,0.05,0.1,AF-TOI,0.03298611111111111,0.03298611111111111
True,0.016666666666666666,Entropy+kinematic gate (MHEG-style),120,safe,44,0.710403311965812,0.05,0.95,0.1,AF-TOI,0.18096751412429382,0.3476341807909605
False,0.9916666666666667,Confidence-threshold gate,120,matched,44,0.9740918803418803,,0.19,0.1,Baseline,,9.916666666666668
False,0.9916666666666667,Smoothed-entropy gate (w=5),120,matched,44,0.9722222222222222,,0.19,0.1,Baseline,,9.916666666666668
False,0.5666666666666667,Confidence-threshold gate,120,matched,44,0.6771501068376068,,0.51,0.1,AF-TOI,,5.666666666666666
False,0.5666666666666667,Smoothed-entropy gate (w=5),120,matched,44,0.6768830128205128,,0.51,0.1,AF-TOI,,5.666666666666666
True,0.0,Confidence-threshold gate,120,safe,45,0.0,,0.05,0.1,Baseline,0.0017361111111111112,0.0017361111111111112
True,0.041666666666666664,Smoothed-entropy gate (w=5),120,safe,45,0.07545405982905982,,0.2,0.1,Baseline,0.0018115942028985507,0.4184782608695652
True,0.008333333333333333,Entropy+kinematic gate (MHEG-style),120,safe,45,0.9360977564102564,0.05,0.95,0.1,Baseline,0.2774859943977591,0.36081932773109243
True,0.0,Confidence-threshold gate,120,safe,45,0.0,,0.05,0.1,AF-TOI,0.0026041666666666665,0.0026041666666666665
True,0.0,Smoothed-entropy gate (w=5),120,safe,45,0.0,,0.05,0.1,AF-TOI,0.0026041666666666665,0.0026041666666666665
True,0.0,Entropy+kinematic gate (MHEG-style),120,safe,45,0.7054620726495726,0.05,0.95,0.1,AF-TOI,0.13802083333333334,0.13802083333333334
False,0.9916666666666667,Confidence-threshold gate,120,matched,45,0.9704861111111112,,0.25,0.1,Baseline,,9.916666666666668
False,0.9833333333333333,Smoothed-entropy gate (w=5),120,matched,45,0.960670405982906,,0.25,0.1,Baseline,,9.833333333333332
False,0.425,Confidence-threshold gate,120,matched,45,0.7041266025641025,,0.71,0.1,AF-TOI,,4.25
False,0.425,Smoothed-entropy gate (w=5),120,matched,45,0.7041266025641025,,0.71,0.1,AF-TOI,,4.25
