R,feasible,fr,n_crit,seed,sup,tau_h,theta,traj,ttdef
2,True,0.0,120,42,0.4720219017094017,0.95,0.1,Baseline,0.006944444444444445
4,True,0.0,120,42,0.7188835470085471,0.95,0.1,Baseline,0.034722222222222224
8,True,0.0,120,42,0.8581730769230769,0.95,0.1,Baseline,0.12847222222222224
2,True,0.0,120,42,0.32739049145299143,0.95,0.1,AF-TOI,0.09375000000000001
4,True,0.0,120,42,0.4959268162393162,0.95,0.1,AF-TOI,0.11458333333333333
8,True,0.0,120,42,0.5875400641025641,0.95,0.1,AF-TOI,0.16319444444444448
2,True,0.0,120,43,0.4704861111111111,0.95,0.1,Baseline,0.017361111111111112
4,True,0.0,120,43,0.7166132478632479,0.95,0.1,Baseline,0.05034722222222222
8,True,0.0,120,43,0.8547676282051282,0.95,0.1,Baseline,0.1545138888888889
2,True,0.0,120,43,0.3235176282051282,0.95,0.1,AF-TOI,0.03993055555555555
4,True,0.0,120,43,0.48824786324786323,0.95,0.1,AF-TOI,0.08680555555555557
8,True,0.0,120,43,0.5790598290598291,0.95,0.1,AF-TOI,0.19444444444444448
2,True,0.0,120,44,0.4799011752136752,0.95,0.1,Baseline,0.03559027777777778
4,True,0.0,120,44,0.7289663461538461,0.95,0.1,Baseline,0.08940972222222222
8,True,0.0,120,44,0.8614449786324786,0.95,0.1,Baseline,0.2508680555555556
2,True,0.0,120,44,0.34541933760683763,0.95,0.1,AF-TOI,0.046875
4,True,0.0,120,44,0.5231036324786325,0.95,0.1,AF-TOI,0.06944444444444445
8,True,0.0,120,44,0.6157184829059829,0.95,0.1,AF-TOI,0.1388888888888889
2,True,0.0,120,45,0.47896634615384615,0.95,0.1,Baseline,0.0034722222222222225
4,True,0.0,120,45,0.7272970085470085,0.95,0.1,Baseline,0.026041666666666668
8,True,0.0,120,45,0.8633814102564102,0.95,0.1,Baseline,0.109375
2,True,0.0,120,45,0.34301549145299143,0.95,0.1,AF-TOI,0.005208333333333333
4,True,0.0,120,45,0.5195646367521367,0.95,0.1,AF-TOI,0.010416666666666666
8,True,0.0,120,45,0.6124465811965812,0.95,0.1,AF-TOI,0.020833333333333332
