regime,episode_id,t0_s,contrast_nats,rank,selected
abrupt,103,2.917,-0.003,0,False
abrupt,62,2.917,-0.0026,1,False
abrupt,151,2.917,-0.0025,2,False
abrupt,56,2.917,-0.0025,3,False
abrupt,131,2.917,-0.0025,4,False
abrupt,88,2.917,-0.0025,5,False
abrupt,30,2.917,-0.0024,6,False
abrupt,18,2.917,-0.0024,7,False
abrupt,1,2.917,-0.0024,8,False
abrupt,138,2.917,-0.0024,9,False
abrupt,65,2.917,-0.0023,10,False
abrupt,3,2.917,-0.0022,11,False
abrupt,117,2.5,0.1164,12,False
abrupt,98,3.542,0.1705,13,False
abrupt,149,3.542,0.2084,14,False
abrupt,52,3.542,0.2129,15,False
abrupt,42,3.542,0.2246,16,False
abrupt,152,3.542,0.2331,17,False
abrupt,100,2.5,0.2498,18,False
abrupt,94,2.5,0.2507,19,False
abrupt,87,2.5,0.252,20,False
abrupt,27,2.5,0.2533,21,False
abrupt,81,2.5,0.2547,22,False
abrupt,19,3.333,0.2563,23,False
abrupt,148,2.5,0.2577,24,True
abrupt,16,3.333,0.2585,25,False
abrupt,129,3.333,0.266,26,False
abrupt,150,3.542,0.266,27,False
abrupt,91,3.542,0.267,28,False
abrupt,58,3.333,0.2721,29,False
abrupt,57,3.333,0.2741,30,False
abrupt,4,3.333,0.2741,31,False
abrupt,136,3.333,0.2763,32,False
abrupt,133,2.5,0.2886,33,False
abrupt,40,3.542,0.3087,34,False
abrupt,146,3.542,0.3093,35,False
abrupt,119,2.5,0.3133,36,False
abrupt,11,2.5,0.3136,37,False
abrupt,104,2.5,0.3141,38,False
abrupt,15,2.5,0.3162,39,False
abrupt,73,3.333,0.333,40,False
abrupt,37,3.542,0.3357,41,False
abrupt,24,3.333,0.336,42,False
abrupt,130,3.333,0.3393,43,False
abrupt,22,3.333,0.3437,44,False
abrupt,32,3.333,0.3447,45,False
abrupt,125,3.542,0.3468,46,False
abrupt,109,3.542,0.356,47,False
progressive,31,5.833,-0.0043,0,False
progressive,46,5.833,-0.0041,1,False
progressive,95,5.938,-0.004,2,False
progressive,74,5.938,-0.0039,3,False
progressive,112,5.938,-0.0037,4,False
progressive,75,6.146,-0.0037,5,False
progressive,134,6.042,-0.0036,6,False
progressive,126,6.042,-0.0035,7,False
progressive,113,6.146,-0.0035,8,False
progressive,8,6.354,-0.0028,9,False
progressive,147,6.354,-0.0026,10,False
progressive,55,6.458,-0.0026,11,False
progressive,23,6.562,0.1354,12,False
progressive,67,6.146,0.2092,13,False
progressive,127,6.25,0.218,14,False
progressive,45,6.354,0.2328,15,False
progressive,145,6.354,0.2471,16,False
progressive,92,6.354,0.2613,17,False
progressive,144,6.354,0.2701,18,False
progressive,71,6.25,0.2772,19,False
progressive,38,6.042,0.2818,20,False
progressive,141,6.25,0.282,21,False
progressive,79,5.938,0.282,22,False
progressive,14,6.667,0.2888,23,False
progressive,13,5.938,0.2926,24,False
progressive,63,6.042,0.3018,25,False
progressive,154,6.458,0.3032,26,False
progressive,29,5.729,0.3033,27,False
progressive,54,5.625,0.306,28,False
progressive,50,5.625,0.3156,29,False
progressive,111,5.833,0.3162,30,False
progressive,28,5.104,0.3198,31,False
progressive,83,5.833,0.3204,32,False
progressive,10,6.354,0.3223,33,False
progressive,110,5.521,0.3224,34,False
progressive,7,5.938,0.3246,35,False
progressive,36,5.417,0.3294,36,True
progressive,69,5.521,0.3295,37,False
progressive,143,6.354,0.3297,38,False
progressive,6,6.146,0.3349,39,False
progressive,139,5.312,0.3375,40,False
progressive,123,6.562,0.3385,41,False
progressive,106,6.146,0.3391,42,False
progressive,53,6.771,0.3397,43,False
progressive,124,5.312,0.3398,44,False
progressive,60,6.25,0.3402,45,False
progressive,34,6.042,0.3441,46,False
progressive,85,6.042,0.348,47,False
progressive,66,6.562,0.3489,48,False
progressive,102,6.667,0.351,49,False
progressive,108,5.104,0.3521,50,False
progressive,64,5.729,0.3522,51,False
progressive,86,6.562,0.3576,52,False
progressive,97,6.458,0.358,53,False
progressive,33,5.729,0.3589,54,False
progressive,70,6.458,0.3596,55,False
progressive,77,5.938,0.362,56,False
progressive,105,5.938,0.3668,57,False
progressive,132,6.458,0.368,58,False
progressive,89,6.354,0.3696,59,False
progressive,114,5.833,0.3708,60,False
progressive,47,5.729,0.3721,61,False
progressive,9,6.25,0.3753,62,False
progressive,142,5.625,0.377,63,False
progressive,48,5.833,0.3792,64,False
progressive,116,6.25,0.3798,65,False
progressive,107,6.042,0.3814,66,False
progressive,122,6.042,0.3819,67,False
progressive,101,5.938,0.3827,68,False
progressive,118,6.146,0.3828,69,False
progressive,25,6.042,0.386,70,False
progressive,2,5.938,0.3975,71,False
