config_id,Seed,F1,ECE,FailRate,TTD_Progressive,TTD,TTDef,Cost_ms_per_frame,SkipPct
baseline_fixed,42,0.481,0.685,0.0,0.583,0.0825,0.0825,1.0535,0.0
baseline_fixed,43,0.2482,0.6979,0.0167,0.515,0.1766,0.3432,0.3894,0.0
baseline_fixed,44,0.3333,0.6832,0.025,0.3487,0.2564,0.5064,1.3574,0.0
baseline_fixed,45,0.3673,0.692,0.1167,0.4557,0.3096,1.4762,0.9354,0.0
baseline_fixed,46,0.3673,0.7028,0.0,0.6597,0.1806,0.1806,0.9266,0.0
baseline_fixed,47,0.4314,0.6426,0.0,1.182,0.0286,0.0286,1.1337,0.0
baseline_fixed,48,0.3893,0.6813,0.0,0.6843,0.1641,0.1641,0.3891,0.0
baseline_fixed,49,0.3217,0.6962,0.075,0.4876,0.2571,1.0071,0.3993,0.0
baseline_fixed,50,0.3217,0.6838,0.0,0.8608,0.0286,0.0286,0.4276,0.0
baseline_fixed,51,0.2857,0.7104,0.0,1.3571,0.0087,0.0087,0.3743,0.0
baseline_fixed,52,0.4,0.6932,0.0,0.4311,0.263,0.263,0.3682,0.0
baseline_fixed,53,0.4516,0.6659,0.1583,0.3168,0.33,1.9134,0.367,0.0
baseline_hybrid,42,0.481,0.6846,0.0,0.5454,0.0825,0.0825,0.5363,49.098
baseline_hybrid,43,0.2353,0.7008,0.0167,0.4398,0.2101,0.3768,0.1505,61.359
baseline_hybrid,44,0.3333,0.6824,0.025,0.217,0.3356,0.5856,0.4553,66.461
baseline_hybrid,45,0.3673,0.6918,0.1167,0.2792,0.4825,1.6492,0.2908,68.909
baseline_hybrid,46,0.3562,0.7022,0.0083,0.5252,0.2425,0.3258,0.3236,65.074
baseline_hybrid,47,0.4314,0.6404,0.0,0.5816,0.0634,0.0634,0.3418,69.851
baseline_hybrid,48,0.3893,0.6806,0.0167,0.4644,0.2004,0.3671,0.1394,64.165
baseline_hybrid,49,0.3099,0.6965,0.075,0.4022,0.2928,1.0428,0.1441,63.9
baseline_hybrid,50,0.3217,0.6826,0.0,0.5975,0.046,0.046,0.1694,60.377
baseline_hybrid,51,0.3099,0.7022,0.0,0.9635,0.0295,0.0295,0.18,51.904
baseline_hybrid,52,0.4416,0.6883,0.0,0.3704,0.3073,0.3073,0.196,46.769
baseline_hybrid,53,0.4516,0.6654,0.1583,0.2329,0.3795,1.9629,0.1318,64.086
aftkd_fixed,42,0.5714,0.6007,0.0,0.8565,0.0156,0.0156,1.015,0.0
aftkd_fixed,43,0.97,0.6595,0.0,1.59,0.0234,0.0234,0.4132,0.0
aftkd_fixed,44,1.0,0.1713,0.0,1.4815,0.0156,0.0156,0.9203,0.0
aftkd_fixed,45,0.4615,0.5584,0.0167,1.7477,0.1227,0.2894,0.9866,0.0
aftkd_fixed,46,0.961,0.4463,0.0,1.0489,0.0339,0.0339,1.1169,0.0
aftkd_fixed,47,0.8,0.4833,0.0,1.4482,0.0278,0.0278,1.1671,0.0
aftkd_fixed,48,0.7755,0.6516,0.0,0.8102,0.0538,0.0538,0.3818,0.0
aftkd_fixed,49,1.0,0.2997,0.0,1.5379,0.0816,0.0816,0.4007,0.0
aftkd_fixed,50,1.0,0.4229,0.0,0.4355,0.3889,0.3889,0.3926,0.0
aftkd_fixed,51,0.8177,0.565,0.0,1.6073,0.0495,0.0495,0.4055,0.0
aftkd_fixed,52,0.794,0.6064,0.0,0.612,0.0043,0.0043,0.3808,0.0
aftkd_fixed,53,1.0,0.4801,0.0,1.2211,0.0078,0.0078,0.3965,0.0
aftkd_hybrid,42,0.5714,0.5998,0.0,0.5961,0.0234,0.0234,0.5614,44.686
aftkd_hybrid,43,0.97,0.6595,0.0,1.1444,0.0252,0.0252,0.2304,44.234
aftkd_hybrid,44,1.0,0.1713,0.0,0.9621,0.0234,0.0234,0.4959,46.112
aftkd_hybrid,45,0.4615,0.5579,0.0167,1.1762,0.1668,0.3335,0.3986,59.594
aftkd_hybrid,46,0.961,0.4462,0.0,0.3545,0.0425,0.0425,0.5956,46.676
aftkd_hybrid,47,0.8,0.4827,0.0,0.651,0.0321,0.0321,0.5547,52.468
aftkd_hybrid,48,0.7755,0.6513,0.0,0.5946,0.0573,0.0573,0.182,52.342
aftkd_hybrid,49,1.0,0.2997,0.0,1.0764,0.1024,0.1024,0.2064,48.481
aftkd_hybrid,50,1.0,0.4229,0.0,0.2098,0.4523,0.4523,0.191,51.34
aftkd_hybrid,51,0.8177,0.5585,0.0,1.4858,0.0677,0.0677,0.2224,45.15
aftkd_hybrid,52,0.794,0.5992,0.0,0.5194,0.0191,0.0191,0.2096,44.958
aftkd_hybrid,53,1.0,0.4801,0.0,0.7595,0.0078,0.0078,0.2319,41.521
