seed,lam,split,theta,FR,TTDef,SupPct,F1
42,1e-05,val,0.05,0.0,0.0,4.647433757781982,0.8695652173913043
42,1e-05,val,0.1,0.0,0.0,4.647433757781982,1.0
42,1e-05,val,0.15,0.0,0.0,4.647433757781982,1.0
42,1e-05,val,0.2,0.0,0.0,4.647433757781982,1.0
42,1e-05,val,0.3,0.0,0.02951388888888889,4.647433757781982,1.0
42,1e-05,val,0.5,0.0,0.3211805555555556,4.647433757781982,1.0
42,1e-05,test,0.05,0.0,0.0,4.299360513687134,0.8664259927797834
42,1e-05,test,0.1,0.0,0.0,4.299360513687134,1.0
42,1e-05,test,0.15,0.0,0.0,4.299360513687134,1.0
42,1e-05,test,0.2,0.0,0.0026041666666666665,4.299360513687134,1.0
42,1e-05,test,0.3,0.0,0.03298611111111111,4.299360513687134,1.0
42,1e-05,test,0.5,0.0,0.33420138888888895,4.299360513687134,1.0
42,5e-05,val,0.05,0.0,0.0,48.54433536529541,0.8695652173913043
42,5e-05,val,0.1,0.0,0.0,48.54433536529541,1.0
42,5e-05,val,0.15,0.0,0.0,48.54433536529541,1.0
42,5e-05,val,0.2,0.0,0.0,48.54433536529541,1.0
42,5e-05,val,0.3,0.0,0.017361111111111112,48.54433536529541,1.0
42,5e-05,val,0.5,0.0,0.27170138888888895,48.54433536529541,1.0
42,5e-05,test,0.05,0.0,0.0,49.230360984802246,0.8664259927797834
42,5e-05,test,0.1,0.0,0.0,49.230360984802246,1.0
42,5e-05,test,0.15,0.0,0.0,49.230360984802246,1.0
42,5e-05,test,0.2,0.0,0.0,49.230360984802246,1.0
42,5e-05,test,0.3,0.0,0.013020833333333334,49.230360984802246,1.0
42,5e-05,test,0.5,0.0,0.2916666666666667,49.230360984802246,1.0
42,0.0001,val,0.05,0.0,0.0,61.03098392486572,0.8695652173913043
42,0.0001,val,0.1,0.0,0.0,61.03098392486572,1.0
42,0.0001,val,0.15,0.0,0.0008680555555555556,61.03098392486572,1.0
42,0.0001,val,0.2,0.0,0.0026041666666666665,61.03098392486572,1.0
42,0.0001,val,0.3,0.0,0.019097222222222224,61.03098392486572,1.0
42,0.0001,val,0.5,0.0,0.3203125,61.03098392486572,1.0
42,0.0001,test,0.05,0.0,0.0,61.44506335258484,0.8664259927797834
42,0.0001,test,0.1,0.0,0.0,61.44506335258484,1.0
42,0.0001,test,0.15,0.0,0.0008680555555555556,61.44506335258484,1.0
