id;recipe_id;nome;categoria;class_name;risk_episode;risk_episode_severity;regime;event_start;event_end;event_duration;progressive;detectable_start_035;onset_gap_035;persistent_tail;last6_mean_clean;mean_eye_gaze;mean_lane_offset;window;sensor_level
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.38148777633905406;0.38148777633905406;R3_FALSE_KIN;42;73;32;1;60;18;0;0.05000000819563866;0.31491777300834656;0.13468293845653534;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.4532697886228561;0.4532697886228561;R2_STABLE_RISK;42;73;32;1;59;17;1;0.23927517235279083;0.3175777494907379;0.164321169257164;96;4
C05;C05;Critico progressivo: Celular em rodovia;Critico;Critico;0.3857490882277489;0.3857490882277489;R1_NORMAL;42;73;32;1;59;17;0;0.05000000819563866;0.32609954476356506;0.11110597848892212;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.38475195318460464;0.38475195318460464;R2_STABLE_RISK;38;73;36;1;54;16;0;0.05000000819563866;0.2551130950450897;0.12249626964330673;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03335975110530853;0.1073160395026207;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R3_FALSE_KIN;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03181848302483559;0.09966406971216202;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.031133214011788368;0.0742936059832573;96;4
C10;C10;Critico progressivo: Grooming em rodovia com fadiga;Critico;Critico;0.39661367535591124;0.39661367535591124;R3_FALSE_KIN;40;81;42;1;62;22;0;0.05000000819563866;0.19596292078495026;0.10732394456863403;96;4
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.035887181758880615;0.07819124311208725;96;4
C02;C02;Critico: Fadiga com desvio cinematico;Critico;Critico;0.5939610153436661;0.5939610153436661;R3_FALSE_KIN;29;50;22;0;32;3;1;0.25550761818885803;0.0963929072022438;0.1686944216489792;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R2_STABLE_RISK;26;41;16;0;28;2;0;0.05000000819563866;0.17982782423496246;0.13316406309604645;96;4
C02;C02;Critico: Fadiga com desvio cinematico;Critico;Critico;0.39378328174352645;0.39378328174352645;R1_NORMAL;29;50;22;0;32;3;0;0.05000000819563866;0.09741976112127304;0.11670064926147461;96;4
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03643741458654404;0.09142706543207169;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.02763277105987072;0.09542439132928848;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.39394064992666245;0.39394064992666245;R3_FALSE_KIN;38;73;36;1;60;22;0;0.05000000819563866;0.25557637214660645;0.12870217859745026;96;4
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.0296571496874094;0.08451338857412338;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.4031225547194481;0.4031225547194481;R1_NORMAL;36;81;46;1;64;28;0;0.05000000819563866;0.1476697474718094;0.10992375761270523;96;4
N01;N01;Normal: Viagem tranquila em rodovia;Normal;Normal;0.050000007078051564;0.050000007078051564;R3_FALSE_KIN;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.039328671991825104;0.09979623556137085;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.4289093911647796;0.4289093911647796;R1_NORMAL;36;81;46;1;60;24;0;0.05000000819563866;0.15522664785385132;0.17151440680027008;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.6139443188905715;0.6139443188905715;R1_NORMAL;26;41;16;0;28;2;1;0.2491275519132614;0.19174258410930634;0.22183775901794434;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.42471901923418043;0.42471901923418043;R2_STABLE_RISK;36;81;46;1;60;24;0;0.05000000819563866;0.16318772733211517;0.1228865459561348;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R1_NORMAL;26;41;16;0;28;2;0;0.05000000819563866;0.18450526893138885;0.1166549101471901;96;4
C09;C09;Critico progressivo: Bebida ao volante;Critico;Critico;0.3924979493021965;0.3924979493021965;R1_NORMAL;38;73;36;1;54;16;0;0.05000000819563866;0.2555176019668579;0.13581697642803192;96;4
N02;N02;Normal: Urbano moderado;Normal;Normal;0.050000007078051564;0.050000007078051564;R2_STABLE_RISK;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.04087531939148903;0.0710991844534874;96;4
C03;C03;Critico: Celular sem cinto sob chuva;Critico;Critico;0.3752959698438644;0.3752959698438644;R1_NORMAL;26;41;16;0;28;2;0;0.05000000819563866;0.18263070285320282;0.1300811916589737;96;4
C07;C07;Critico progressivo: Sem cinto sob chuva;Critico;Critico;0.4043643534183502;0.4043643534183502;R2_STABLE_RISK;37;75;39;1;58;21;0;0.05000000819563866;0.3748685121536255;0.11774963140487671;96;4
C01;C01;Critico: Celular em alta velocidade;Critico;Critico;0.5242454558610916;0.5242454558610916;R1_NORMAL;32;44;13;0;34;2;1;0.2596639394760132;0.15331047773361206;0.17095398902893066;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.3713889718055725;0.3713889718055725;R2_STABLE_RISK;22;45;24;0;24;2;0;0.05000000819563866;0.2082679271697998;0.14016377925872803;96;4
C04;C04;Critico: Multiplas distracoes urbanas;Critico;Critico;0.5647142022848128;0.5647142022848128;R2_STABLE_RISK;22;45;24;0;24;2;1;0.23930740356445312;0.21164239943027496;0.19829875230789185;96;4
N03;N03;Normal: Noite estável;Normal;Normal;0.050000007078051564;0.050000007078051564;R1_NORMAL;-1;-1;0;0;-1;-1;0;0.05000000819563866;0.03268754854798317;0.11534953117370605;96;4
C06;C06;Critico progressivo: Fadiga noturna;Critico;Critico;0.42878166437149046;0.42878166437149046;R1_NORMAL;36;81;46;1;58;22;0;0.05000000819563866;0.16326197981834412;0.10932908207178116;96;4
C08;C08;Critico progressivo: Distracao urbana multietapas;Critico;Critico;0.4472441345453262;0.4472441345453262;R2_STABLE_RISK;28;77;50;1;52;24;0;0.05000000819563866;0.3224118649959564;0.18988977372646332;96;4
