seed,dur_frames,dur_s,support,config,FR,TTD,TTDef,SupPct,ComputeRate,FSonset,FSonsetSimple,F1,ECE,H_stable,H_pre,H_post,n_crit
42,2,0.208,extrapolation-fast OOD,Baseline Fixed,0.0,0.934,0.934,0.0,1.0,0.0,0.0,0.0328,0.1205,0.0056,0.0058,0.3056,118
42,2,0.208,extrapolation-fast OOD,Baseline+MHEG,0.0,0.9887,0.9887,51.13,0.4887,0.0566,0.2943,0.0328,0.1248,0.0056,0.0058,0.3056,118
42,2,0.208,extrapolation-fast OOD,AF-TOI Fixed,0.0,0.4529,0.4529,0.0,1.0,0.0,0.0,0.0488,0.1121,0.001,0.0011,0.4514,118
42,2,0.208,extrapolation-fast OOD,AF-TOI+MHEG,0.0,0.4749,0.4749,46.27,0.5373,0.0391,0.2974,0.0645,0.1119,0.001,0.0011,0.4514,118
42,6,0.625,ID anchor (abrupt),Baseline Fixed,0.0,0.6424,0.6424,0.0,1.0,0.0,0.0,0.0952,0.1087,0.0056,0.0058,0.3249,120
42,6,0.625,ID anchor (abrupt),Baseline+MHEG,0.0,0.6823,0.6823,49.29,0.5071,0.0607,0.2652,0.0952,0.1135,0.0056,0.0058,0.3249,120
42,6,0.625,ID anchor (abrupt),AF-TOI Fixed,0.0,0.5755,0.5755,0.0,1.0,0.0,0.0,0.1395,0.0944,0.001,0.0011,0.4727,120
42,6,0.625,ID anchor (abrupt),AF-TOI+MHEG,0.0,0.6233,0.6233,43.15,0.5685,0.0603,0.2508,0.1538,0.0938,0.001,0.0011,0.4727,120
42,10,1.042,ID anchor (abrupt edge),Baseline Fixed,0.0,0.5477,0.5477,0.0,1.0,0.0,0.0,0.1395,0.1175,0.0056,0.0058,0.3106,120
42,10,1.042,ID anchor (abrupt edge),Baseline+MHEG,0.0,0.5703,0.5703,46.77,0.5323,0.1264,0.247,0.1395,0.1222,0.0056,0.0058,0.3106,120
42,10,1.042,ID anchor (abrupt edge),AF-TOI Fixed,0.0,0.6224,0.6224,0.0,1.0,0.0,0.0,0.209,0.1093,0.001,0.0011,0.4089,120
42,10,1.042,ID anchor (abrupt edge),AF-TOI+MHEG,0.0,0.6632,0.6632,41.07,0.5893,0.1128,0.2144,0.2222,0.1101,0.001,0.0011,0.4089,120
42,14,1.458,interpolation OOD,Baseline Fixed,0.0,0.3785,0.3785,0.0,1.0,0.0,0.0,0.1818,0.11,0.0056,0.0058,0.2889,120
42,14,1.458,interpolation OOD,Baseline+MHEG,0.0,0.3889,0.3889,45.25,0.5475,0.1403,0.2417,0.1818,0.1154,0.0056,0.0058,0.2889,120
42,14,1.458,interpolation OOD,AF-TOI Fixed,0.0,0.5495,0.5495,0.0,1.0,0.0,0.0,0.209,0.1313,0.001,0.0011,0.358,120
42,14,1.458,interpolation OOD,AF-TOI+MHEG,0.0,0.5599,0.5599,39.86,0.6014,0.1708,0.2439,0.2222,0.1337,0.001,0.0011,0.358,120
42,18,1.875,interpolation OOD,Baseline Fixed,0.0,0.2821,0.2821,0.0,1.0,0.0,0.0,0.1679,0.0795,0.0056,0.0058,0.2707,120
42,18,1.875,interpolation OOD,Baseline+MHEG,0.0,0.2899,0.2899,45.05,0.5495,0.1014,0.2311,0.1679,0.0861,0.0056,0.0058,0.2707,120
42,18,1.875,interpolation OOD,AF-TOI Fixed,0.0,0.4844,0.4844,0.0,1.0,0.0,0.0,0.3673,0.1188,0.001,0.0011,0.3228,120
42,18,1.875,interpolation OOD,AF-TOI+MHEG,0.0,0.5017,0.5017,40.75,0.5925,0.1681,0.2591,0.3673,0.1218,0.001,0.0011,0.3228,120
42,22,2.292,interpolation OOD,Baseline Fixed,0.0,0.2109,0.2109,0.0,1.0,0.0,0.0,0.3673,0.0452,0.0056,0.0058,0.2514,120
42,22,2.292,interpolation OOD,Baseline+MHEG,0.0,0.2144,0.2144,45.09,0.5491,0.0597,0.1795,0.3673,0.0551,0.0056,0.0058,0.2514,120
42,22,2.292,interpolation OOD,AF-TOI Fixed,0.0,0.4427,0.4427,0.0,1.0,0.0,0.0,0.5276,0.0985,0.001,0.0011,0.2951,120
42,22,2.292,interpolation OOD,AF-TOI+MHEG,0.0,0.4557,0.4557,43.8,0.562,0.1306,0.2326,0.5455,0.1069,0.001,0.0011,0.2951,120
42,31,3.229,ID anchor (progressive),Baseline Fixed,0.0,0.105,0.105,0.0,1.0,0.0,0.0,0.6364,0.0188,0.0056,0.0058,0.2185,120
42,31,3.229,ID anchor (progressive),Baseline+MHEG,0.0,0.1085,0.1085,43.75,0.5625,0.0528,0.1583,0.6364,0.0254,0.0056,0.0058,0.2185,120
42,31,3.229,ID anchor (progressive),AF-TOI Fixed,0.0583,0.3125,0.8958,0.0,1.0,0.0,0.0,0.5542,0.0729,0.001,0.0011,0.246,120
42,31,3.229,ID anchor (progressive),AF-TOI+MHEG,0.0583,0.3162,0.8995,45.21,0.5479,0.1028,0.1591,0.5542,0.076,0.001,0.0011,0.246,120
42,42,4.375,extrapolation-slow OOD,Baseline Fixed,0.0083,0.0543,0.1376,0.0,1.0,0.0,0.0,0.8177,0.0451,0.0056,0.0058,0.1957,120
42,42,4.375,extrapolation-slow OOD,Baseline+MHEG,0.0083,0.0604,0.1437,40.92,0.5908,0.0333,0.2144,0.8177,0.0471,0.0056,0.0058,0.1957,120
42,42,4.375,extrapolation-slow OOD,AF-TOI Fixed,0.0833,0.1894,1.0227,0.0,1.0,0.0,0.0,0.8462,0.1013,0.001,0.0011,0.2269,120
42,42,4.375,extrapolation-slow OOD,AF-TOI+MHEG,0.0833,0.2027,1.036,45.45,0.5455,0.0972,0.1939,0.8462,0.1037,0.001,0.0011,0.2269,120
42,50,5.208,extrapolation-slow OOD,Baseline Fixed,0.0167,0.0318,0.1984,0.0,1.0,0.0,0.0,0.8571,0.1031,0.0056,0.0058,0.1862,120
42,50,5.208,extrapolation-slow OOD,Baseline+MHEG,0.0167,0.0344,0.2011,40.5,0.595,0.0222,0.1644,0.8571,0.1047,0.0056,0.0058,0.1862,120
42,50,5.208,extrapolation-slow OOD,AF-TOI Fixed,0.0833,0.1638,0.9972,0.0,1.0,0.0,0.0,0.806,0.1703,0.001,0.0011,0.2215,120
42,50,5.208,extrapolation-slow OOD,AF-TOI+MHEG,0.0833,0.1657,0.9991,45.43,0.5457,0.0944,0.2098,0.806,0.1725,0.001,0.0011,0.2215,120
43,2,0.208,extrapolation-fast OOD,Baseline Fixed,0.1765,1.3478,3.1125,0.0,1.0,0.0,0.0,0.0328,0.0956,0.0069,0.0072,0.1684,119
43,2,0.208,extrapolation-fast OOD,Baseline+MHEG,0.2773,1.4499,4.223,69.28,0.3072,0.1331,0.4354,0.0328,0.0845,0.0069,0.0072,0.1684,119
43,2,0.208,extrapolation-fast OOD,AF-TOI Fixed,0.0,0.3659,0.3659,0.0,1.0,0.0,0.0,0.0,0.1459,0.0016,0.0016,0.4701,119
43,2,0.208,extrapolation-fast OOD,AF-TOI+MHEG,0.0,0.3773,0.3773,43.87,0.5613,0.1251,0.395,0.0,0.1472,0.0016,0.0016,0.4701,119
43,6,0.625,ID anchor (abrupt),Baseline Fixed,0.0583,1.0435,1.6268,0.0,1.0,0.0,0.0,0.0952,0.1217,0.0069,0.0072,0.1986,120
43,6,0.625,ID anchor (abrupt),Baseline+MHEG,0.1583,1.1046,2.6879,64.38,0.3562,0.0829,0.3758,0.0952,0.1089,0.0069,0.0072,0.1986,120
43,6,0.625,ID anchor (abrupt),AF-TOI Fixed,0.0,0.2804,0.2804,0.0,1.0,0.0,0.0,0.0,0.1158,0.0016,0.0016,0.4567,120
43,6,0.625,ID anchor (abrupt),AF-TOI+MHEG,0.0,0.2839,0.2839,43.55,0.5645,0.0097,0.2848,0.0,0.1161,0.0016,0.0016,0.4567,120
43,10,1.042,ID anchor (abrupt edge),Baseline Fixed,0.0167,0.9816,1.1483,0.0,1.0,0.0,0.0,0.1395,0.1469,0.0069,0.0072,0.1594,120
43,10,1.042,ID anchor (abrupt edge),Baseline+MHEG,0.0417,1.038,1.4547,58.53,0.4147,0.1989,0.3879,0.1395,0.1421,0.0069,0.0072,0.1594,120
43,10,1.042,ID anchor (abrupt edge),AF-TOI Fixed,0.0,0.2899,0.2899,0.0,1.0,0.0,0.0,0.0,0.144,0.0016,0.0016,0.4431,120
43,10,1.042,ID anchor (abrupt edge),AF-TOI+MHEG,0.0,0.303,0.303,44.25,0.5575,0.0222,0.2515,0.0,0.1446,0.0016,0.0016,0.4431,120
43,14,1.458,interpolation OOD,Baseline Fixed,0.0083,0.7423,0.8256,0.0,1.0,0.0,0.0,0.2222,0.1455,0.0069,0.0072,0.1375,120
43,14,1.458,interpolation OOD,Baseline+MHEG,0.0167,0.7601,0.9267,55.85,0.4415,0.2236,0.3689,0.2222,0.1451,0.0069,0.0072,0.1375,120
43,14,1.458,interpolation OOD,AF-TOI Fixed,0.0083,0.4604,0.5438,0.0,1.0,0.0,0.0,0.0,0.1836,0.0016,0.0016,0.4382,120
43,14,1.458,interpolation OOD,AF-TOI+MHEG,0.025,0.5199,0.7699,44.58,0.5542,0.025,0.1652,0.0,0.1822,0.0016,0.0016,0.4382,120
43,18,1.875,interpolation OOD,Baseline Fixed,0.0,0.6667,0.6667,0.0,1.0,0.0,0.0,0.1955,0.131,0.0069,0.0072,0.1275,120
43,18,1.875,interpolation OOD,Baseline+MHEG,0.0,0.6892,0.6892,55.28,0.4472,0.2306,0.4,0.1955,0.1311,0.0069,0.0072,0.1275,120
43,18,1.875,interpolation OOD,AF-TOI Fixed,0.0167,0.6118,0.7784,0.0,1.0,0.0,0.0,0.0165,0.1926,0.0016,0.0016,0.4386,120
43,18,1.875,interpolation OOD,AF-TOI+MHEG,0.0167,0.6162,0.7828,45.34,0.5466,0.0278,0.1364,0.0165,0.192,0.0016,0.0016,0.4386,120
43,22,2.292,interpolation OOD,Baseline Fixed,0.0083,0.597,0.6803,0.0,1.0,0.0,0.0,0.209,0.0997,0.0069,0.0072,0.1219,120
43,22,2.292,interpolation OOD,Baseline+MHEG,0.0083,0.632,0.7153,55.09,0.4491,0.2556,0.4136,0.209,0.1005,0.0069,0.0072,0.1219,120
43,22,2.292,interpolation OOD,AF-TOI Fixed,0.0083,0.4788,0.5621,0.0,1.0,0.0,0.0,0.0165,0.1753,0.0016,0.0016,0.4395,120
43,22,2.292,interpolation OOD,AF-TOI+MHEG,0.0083,0.4946,0.5779,45.53,0.5447,0.0236,0.0856,0.0165,0.175,0.0016,0.0016,0.4395,120
43,31,3.229,ID anchor (progressive),Baseline Fixed,0.0167,0.5632,0.7299,0.0,1.0,0.0,0.0,0.6207,0.0758,0.0069,0.0072,0.1163,120
43,31,3.229,ID anchor (progressive),Baseline+MHEG,0.0167,0.5756,0.7422,53.91,0.4609,0.1861,0.2742,0.6207,0.0777,0.0069,0.0072,0.1163,120
43,31,3.229,ID anchor (progressive),AF-TOI Fixed,0.05,0.3289,0.8289,0.0,1.0,0.0,0.0,0.0165,0.1632,0.0016,0.0016,0.437,120
43,31,3.229,ID anchor (progressive),AF-TOI+MHEG,0.05,0.3436,0.8436,46.41,0.5359,0.0333,0.0636,0.0165,0.1617,0.0016,0.0016,0.437,120
43,42,4.375,extrapolation-slow OOD,Baseline Fixed,0.025,0.7603,1.0103,0.0,1.0,0.0,0.0,0.835,0.0919,0.0069,0.0072,0.1133,120
43,42,4.375,extrapolation-slow OOD,Baseline+MHEG,0.025,0.7666,1.0166,53.65,0.4635,0.1806,0.2242,0.835,0.09,0.0069,0.0072,0.1133,120
43,42,4.375,extrapolation-slow OOD,AF-TOI Fixed,0.1083,0.3738,1.4572,0.0,1.0,0.0,0.0,0.0488,0.1966,0.0016,0.0016,0.4346,120
43,42,4.375,extrapolation-slow OOD,AF-TOI+MHEG,0.1083,0.3777,1.4611,47.57,0.5243,0.0361,0.0621,0.0488,0.1926,0.0016,0.0016,0.4346,120
43,50,5.208,extrapolation-slow OOD,Baseline Fixed,0.0917,0.9948,1.9115,0.0,1.0,0.0,0.0,0.8837,0.1406,0.0069,0.0072,0.1127,120
43,50,5.208,extrapolation-slow OOD,Baseline+MHEG,0.0917,1.0283,1.945,55.78,0.4422,0.2028,0.2189,0.8837,0.1414,0.0069,0.0072,0.1127,120
43,50,5.208,extrapolation-slow OOD,AF-TOI Fixed,0.1083,0.3758,1.4591,0.0,1.0,0.0,0.0,0.209,0.233,0.0016,0.0016,0.4346,120
43,50,5.208,extrapolation-slow OOD,AF-TOI+MHEG,0.1083,0.3758,1.4591,47.9,0.521,0.0167,0.0288,0.209,0.23,0.0016,0.0016,0.4346,120
44,2,0.208,extrapolation-fast OOD,Baseline Fixed,0.1429,1.4205,2.8491,0.0,1.0,0.0,0.0,0.0165,0.1112,0.0056,0.0056,0.14,119
44,2,0.208,extrapolation-fast OOD,Baseline+MHEG,0.2773,1.6667,4.4398,75.45,0.2455,0.1553,0.5332,0.0165,0.0861,0.0056,0.0056,0.14,119
44,2,0.208,extrapolation-fast OOD,AF-TOI Fixed,0.0,0.4631,0.4631,0.0,1.0,0.0,0.0,0.9655,0.2451,0.0015,0.0016,0.5335,119
44,2,0.208,extrapolation-fast OOD,AF-TOI+MHEG,0.0084,0.4855,0.5696,47.28,0.5272,0.0908,0.4469,0.961,0.2429,0.0015,0.0016,0.5335,119
44,6,0.625,ID anchor (abrupt),Baseline Fixed,0.025,1.1939,1.4439,0.0,1.0,0.0,0.0,0.08,0.1247,0.0056,0.0056,0.1842,120
44,6,0.625,ID anchor (abrupt),Baseline+MHEG,0.125,1.4147,2.6647,68.88,0.3112,0.2399,0.4614,0.08,0.1058,0.0056,0.0056,0.1842,120
44,6,0.625,ID anchor (abrupt),AF-TOI Fixed,0.0,0.3967,0.3967,0.0,1.0,0.0,0.0,1.0,0.2374,0.0015,0.0016,0.5691,120
44,6,0.625,ID anchor (abrupt),AF-TOI+MHEG,0.0,0.3993,0.3993,45.05,0.5495,0.0263,0.3295,1.0,0.2384,0.0015,0.0016,0.5691,120
44,10,1.042,ID anchor (abrupt edge),Baseline Fixed,0.0,1.0148,1.0148,0.0,1.0,0.0,0.0,0.125,0.1443,0.0056,0.0056,0.1315,120
44,10,1.042,ID anchor (abrupt edge),Baseline+MHEG,0.0583,1.085,1.6683,64.98,0.3502,0.3633,0.5303,0.125,0.14,0.0056,0.0056,0.1315,120
44,10,1.042,ID anchor (abrupt edge),AF-TOI Fixed,0.0,0.421,0.421,0.0,1.0,0.0,0.0,1.0,0.2454,0.0015,0.0016,0.5365,120
44,10,1.042,ID anchor (abrupt edge),AF-TOI+MHEG,0.0,0.447,0.447,46.07,0.5393,0.0428,0.3,1.0,0.2479,0.0015,0.0016,0.5365,120
44,14,1.458,interpolation OOD,Baseline Fixed,0.0,0.704,0.704,0.0,1.0,0.0,0.0,0.1679,0.1364,0.0055,0.0056,0.0925,120
44,14,1.458,interpolation OOD,Baseline+MHEG,0.0,0.7569,0.7569,61.58,0.3842,0.4153,0.5583,0.1679,0.1406,0.0055,0.0056,0.0925,120
44,14,1.458,interpolation OOD,AF-TOI Fixed,0.0,0.4653,0.4653,0.0,1.0,0.0,0.0,1.0,0.2367,0.0015,0.0016,0.5142,120
44,14,1.458,interpolation OOD,AF-TOI+MHEG,0.0,0.4835,0.4835,46.73,0.5327,0.0528,0.2417,1.0,0.2405,0.0015,0.0016,0.5142,120
44,18,1.875,interpolation OOD,Baseline Fixed,0.0,0.5946,0.5946,0.0,1.0,0.0,0.0,0.1818,0.1079,0.0055,0.0056,0.0777,120
44,18,1.875,interpolation OOD,Baseline+MHEG,0.0,0.6953,0.6953,60.97,0.3903,0.4417,0.5856,0.1818,0.1152,0.0055,0.0056,0.0777,120
44,18,1.875,interpolation OOD,AF-TOI Fixed,0.0,0.3872,0.3872,0.0,1.0,0.0,0.0,1.0,0.2037,0.0015,0.0016,0.4972,120
44,18,1.875,interpolation OOD,AF-TOI+MHEG,0.0,0.4106,0.4106,47.5,0.525,0.0625,0.2023,1.0,0.2087,0.0015,0.0016,0.4972,120
44,22,2.292,interpolation OOD,Baseline Fixed,0.0083,0.4666,0.5499,0.0,1.0,0.0,0.0,0.3099,0.0715,0.0055,0.0056,0.0687,120
44,22,2.292,interpolation OOD,Baseline+MHEG,0.0083,0.5944,0.6777,61.12,0.3888,0.4194,0.5758,0.3099,0.0816,0.0055,0.0056,0.0687,120
