seed,dur_frames,dur_s,method,compute_rate,target_rate,budget_diff,match_mode,SupPct,FSonset,FSonsetSimple,FR,TTDef,F1,valid
42,2,0.208,AF-TOI+MHEG (frozen),0.5373,0.5373,0.0,frozen,46.27,0.0391,0.2974,0.0,0.4749,0.0645,True
42,2,0.208,Baseline+MHEG (matched),0.528,0.5373,0.0173,tau_h,47.2,0.0425,0.2781,0.0,0.964,0.0328,True
42,6,0.625,AF-TOI+MHEG (frozen),0.5685,0.5685,0.0,frozen,43.15,0.0603,0.2508,0.0,0.6233,0.1538,True
42,6,0.625,Baseline+MHEG (matched),0.5622,0.5685,0.0112,tau_h,43.78,0.0075,0.2106,0.0,0.6684,0.0952,True
42,10,1.042,AF-TOI+MHEG (frozen),0.5891,0.5891,0.0,frozen,41.09,0.1128,0.2144,0.0,0.6632,0.2222,True
42,10,1.042,Baseline+MHEG (matched),0.5882,0.5891,0.0016,tau_h,41.18,0.0281,0.147,0.0,0.5477,0.1395,True
42,14,1.458,AF-TOI+MHEG (frozen),0.601,0.601,0.0,frozen,39.9,0.1708,0.2439,0.0,0.5599,0.2222,True
42,14,1.458,Baseline+MHEG (matched),0.5917,0.601,0.0153,tau_h,40.83,0.075,0.1788,0.0,0.3828,0.1818,True
42,18,1.875,AF-TOI+MHEG (frozen),0.5922,0.5922,0.0,frozen,40.78,0.1681,0.2591,0.0,0.5017,0.3673,True
42,18,1.875,Baseline+MHEG (matched),0.5972,0.5922,0.0085,tau_h,40.28,0.0597,0.1682,0.0,0.2839,0.1679,True
42,22,2.292,AF-TOI+MHEG (frozen),0.5613,0.5613,0.0,frozen,43.87,0.1306,0.2326,0.0,0.4557,0.5455,True
42,22,2.292,Baseline+MHEG (matched),0.5646,0.5613,0.0059,tau_h,43.54,0.0444,0.1553,0.0,0.2135,0.3673,True
42,31,3.229,AF-TOI+MHEG (frozen),0.5475,0.5475,0.0,frozen,45.25,0.1028,0.1591,0.0583,0.8995,0.5542,True
42,31,3.229,Baseline+MHEG (matched),0.5415,0.5475,0.011,tau_h,45.85,0.0778,0.1977,0.0,0.1163,0.6364,True
42,42,4.375,AF-TOI+MHEG (frozen),0.5452,0.5452,0.0,frozen,45.48,0.0972,0.1939,0.0833,1.036,0.8462,True
42,42,4.375,Baseline+MHEG (matched),0.5461,0.5452,0.0016,tau_h,45.39,0.0708,0.3417,0.0083,0.156,0.8177,True
42,50,5.208,AF-TOI+MHEG (frozen),0.5455,0.5455,0.0,frozen,45.45,0.0944,0.2106,0.0833,0.9991,0.806,True
42,50,5.208,Baseline+MHEG (matched),0.5413,0.5455,0.0077,tau_h,45.87,0.0472,0.3371,0.0167,0.2082,0.8571,True
43,2,0.208,AF-TOI+MHEG (frozen),0.5613,0.5613,0.0,frozen,43.87,0.1251,0.395,0.0,0.3773,0.0,True
43,2,0.208,Baseline+MHEG (matched),0.5716,0.5613,0.0183,tau_h,42.84,0.0931,0.3476,0.1765,3.1125,0.0328,True
43,6,0.625,AF-TOI+MHEG (frozen),0.5645,0.5645,0.0,frozen,43.55,0.0097,0.2848,0.0,0.2839,0.0,True
43,6,0.625,Baseline+MHEG (matched),0.5638,0.5645,0.0013,tau_h,43.62,0.0097,0.2455,0.0583,1.6268,0.0952,True
43,10,1.042,AF-TOI+MHEG (frozen),0.5575,0.5575,0.0,frozen,44.25,0.0222,0.2515,0.0,0.303,0.0,True
43,10,1.042,Baseline+MHEG (matched),0.5576,0.5575,0.0002,tau_h,44.24,0.0153,0.1962,0.0167,1.1492,0.1395,True
43,14,1.458,AF-TOI+MHEG (frozen),0.5542,0.5542,0.0,frozen,44.58,0.025,0.1652,0.025,0.7699,0.0,True
43,14,1.458,Baseline+MHEG (matched),0.557,0.5542,0.0052,tau_h,44.3,0.025,0.1341,0.0083,0.8318,0.2222,True
43,18,1.875,AF-TOI+MHEG (frozen),0.5466,0.5466,0.0,frozen,45.34,0.0278,0.1364,0.0167,0.7828,0.0165,True
43,18,1.875,Baseline+MHEG (matched),0.5395,0.5466,0.0131,tau_h,46.05,0.0306,0.1212,0.0,0.6667,0.1955,True
43,22,2.292,AF-TOI+MHEG (frozen),0.5447,0.5447,0.0,frozen,45.53,0.0236,0.0856,0.0083,0.5779,0.0165,True
43,22,2.292,Baseline+MHEG (matched),0.5343,0.5447,0.0191,tau_h,46.57,0.0222,0.078,0.0083,0.6829,0.209,True
43,31,3.229,AF-TOI+MHEG (frozen),0.5359,0.5359,0.0,frozen,46.41,0.0333,0.0636,0.05,0.8436,0.0165,True
43,31,3.229,Baseline+MHEG (matched),0.5306,0.5359,0.0097,tau_h,46.94,0.0472,0.1083,0.0167,0.7325,0.6207,True
43,42,4.375,AF-TOI+MHEG (frozen),0.5243,0.5243,0.0,frozen,47.57,0.0361,0.0621,0.1083,1.462,0.0488,True
43,42,4.375,Baseline+MHEG (matched),0.5141,0.5243,0.0195,tau_h,48.59,0.0764,0.1098,0.025,1.0255,0.835,True
43,50,5.208,AF-TOI+MHEG (frozen),0.521,0.521,0.0,frozen,47.9,0.0167,0.0288,0.1083,1.4591,0.209,True
