config,regime,phase_eval,H_mean,H_median,H_std,p_mean,n_frames
afkd_fixed,abrupt,onset-window,0.4783889375,0.4368745,0.17497739361021253,0.26720854166666663,288
afkd_fixed,abrupt,post-onset,0.6005590044765841,0.65435,0.11315945118014353,0.3564919104683196,2904
afkd_fixed,abrupt,pre-onset,0.38263877754237285,0.296173,0.17993848673796764,0.18020098799435028,1416
afkd_fixed,progressive,onset-window,0.6843462939814815,0.687689,0.012906705025543544,0.4979274212962963,432
afkd_fixed,progressive,post-onset,0.673658970793374,0.6845490000000001,0.025584876951820438,0.4579661316477768,2294
afkd_fixed,progressive,pre-onset,0.4102492692307692,0.3105285,0.18732152193669152,0.2042736746297181,4186
afkd_hybrid,abrupt,onset-window,0.4689998888888889,0.4324695,0.17420537104890668,0.25733897916666665,288
afkd_hybrid,abrupt,post-onset,0.6048675099862258,0.655116,0.11004782533171815,0.36244325,2904
afkd_hybrid,abrupt,pre-onset,0.3822571645480226,0.295186,0.180281527783918,0.18002346892655366,1416
afkd_hybrid,progressive,onset-window,0.6827349907407407,0.687638,0.01704754169715942,0.49181362731481476,432
afkd_hybrid,progressive,post-onset,0.6770308496076721,0.68497,0.021285601908181837,0.46824300741063646,2294
afkd_hybrid,progressive,pre-onset,0.40505105590062107,0.3077,0.18529541937854316,0.19887827018633542,4186
baseline_fixed,abrupt,onset-window,0.52473659375,0.5517775,0.13715350845119503,0.5870160104166666,288
baseline_fixed,abrupt,post-onset,0.40390243457300273,0.38868,0.1828434034243736,0.5130718143939393,2904
baseline_fixed,abrupt,pre-onset,0.17753291101694915,0.1569245,0.08459106276575215,0.04892328884180791,1416
baseline_fixed,progressive,onset-window,0.385693900462963,0.308054,0.14657514507516872,0.8274135,432
baseline_fixed,progressive,post-onset,0.4217525902353967,0.3710875,0.15540028123588806,0.7528404786399302,2294
baseline_fixed,progressive,pre-onset,0.27179995078834207,0.1716705,0.17098194995422353,0.2092538590539895,4186
baseline_hybrid,abrupt,onset-window,0.5385064409722222,0.571795,0.1310939364843856,0.5505067430555556,288
baseline_hybrid,abrupt,post-onset,0.40811727754820937,0.392779,0.1780560535115741,0.5366136873278238,2904
baseline_hybrid,abrupt,pre-onset,0.17638662358757062,0.1558585,0.08629676610880864,0.04931333121468926,1416
baseline_hybrid,progressive,onset-window,0.3956402569444445,0.309587,0.15040428406947468,0.8052176574074074,432
baseline_hybrid,progressive,post-onset,0.40539903007846556,0.349367,0.15005083239832145,0.7871193596338274,2294
baseline_hybrid,progressive,pre-onset,0.2683692919254658,0.17195850000000001,0.16943519840014862,0.19898763903487818,4186
