Method,Scenario,Cost reduction↑,Compute rate↓,Coverage↑,Miss rate↓,TTDef↓,False suppression↓,FS near onset↓,Interpretation
always,balanced_onsets,0.0,100.0,100.0,0.0,3.61,0.0,0.0,upper-cost reference
MHEG_hybrid,balanced_onsets,78.3,21.7,100.0,0.0,3.61,0.0,0.0,saves cost AND preserves onset (safe)
MHEG_calibrated,balanced_onsets,78.3,21.7,100.0,0.0,3.61,0.0,0.0,saves cost AND preserves onset (safe)
NC1_random_budget_matched,balanced_onsets,78.2,21.8,99.7,0.3,7.5,16.8,23.9,saves cost with limited near-onset harm
NC2_entropy_unstructured_aggressive,balanced_onsets,78.2,21.8,100.0,0.0,6.89,14.8,20.3,saves cost with limited near-onset harm
NC3_entropy_lagged,balanced_onsets,79.1,20.9,100.0,0.0,5.59,6.6,33.0,UNSAFE suppression to save cost (near-onset misses)
NC4_entropy_miscalibrated,balanced_onsets,79.1,20.9,100.0,0.0,4.1,1.7,8.2,saves cost with limited near-onset harm
NC5_periodic_skip,balanced_onsets,66.7,33.3,100.0,0.0,4.54,5.4,7.6,saves cost with limited near-onset harm
NC6_cost_matched_unstructured,balanced_onsets,78.2,21.8,100.0,0.0,6.89,14.8,20.3,saves cost with limited near-onset harm
always,abrupt_onset_dominant,0.0,100.0,100.0,0.0,1.06,0.0,0.0,upper-cost reference
MHEG_hybrid,abrupt_onset_dominant,80.7,19.3,100.0,0.0,1.06,0.0,0.0,saves cost AND preserves onset (safe)
MHEG_calibrated,abrupt_onset_dominant,80.7,19.3,100.0,0.0,1.06,0.0,0.0,saves cost AND preserves onset (safe)
NC1_random_budget_matched,abrupt_onset_dominant,80.5,19.5,99.7,0.3,5.56,16.3,43.9,UNSAFE suppression to save cost (near-onset misses)
NC2_entropy_unstructured_aggressive,abrupt_onset_dominant,80.4,19.6,99.7,0.3,4.92,14.0,41.6,UNSAFE suppression to save cost (near-onset misses)
NC3_entropy_lagged,abrupt_onset_dominant,82.1,17.9,100.0,0.0,4.46,11.5,56.7,UNSAFE suppression to save cost (near-onset misses)
NC4_entropy_miscalibrated,abrupt_onset_dominant,82.1,17.9,100.0,0.0,1.91,2.9,14.2,saves cost with limited near-onset harm
NC5_periodic_skip,abrupt_onset_dominant,66.7,33.3,100.0,0.0,2.0,3.9,13.4,saves cost with limited near-onset harm
NC6_cost_matched_unstructured,abrupt_onset_dominant,80.4,19.6,99.7,0.3,4.92,14.0,41.6,UNSAFE suppression to save cost (near-onset misses)
always,progressive_onset_dominant,0.0,100.0,100.0,0.0,6.0,0.0,0.0,upper-cost reference
MHEG_hybrid,progressive_onset_dominant,76.1,23.9,100.0,0.0,6.0,0.0,0.0,saves cost AND preserves onset (safe)
MHEG_calibrated,progressive_onset_dominant,76.1,23.9,100.0,0.0,6.0,0.0,0.0,saves cost AND preserves onset (safe)
NC1_random_budget_matched,progressive_onset_dominant,75.9,24.1,99.7,0.3,9.16,16.1,6.2,saves cost with limited near-onset harm
NC2_entropy_unstructured_aggressive,progressive_onset_dominant,75.8,24.2,100.0,0.0,9.12,16.1,6.9,saves cost with limited near-onset harm
NC3_entropy_lagged,progressive_onset_dominant,76.3,23.7,100.0,0.0,6.64,2.2,10.6,saves cost with limited near-onset harm
NC4_entropy_miscalibrated,progressive_onset_dominant,76.3,23.7,100.0,0.0,6.16,0.5,2.6,saves cost with limited near-onset harm
NC5_periodic_skip,progressive_onset_dominant,66.7,33.3,100.0,0.0,6.99,6.9,2.5,saves cost with limited near-onset harm
NC6_cost_matched_unstructured,progressive_onset_dominant,75.8,24.2,100.0,0.0,9.12,16.1,6.9,saves cost with limited near-onset harm
always,rare_abrupt_critical_events,0.0,100.0,100.0,0.0,0.0,0.0,0.0,upper-cost reference
MHEG_hybrid,rare_abrupt_critical_events,93.4,6.6,100.0,0.0,0.0,0.0,0.0,saves cost AND preserves onset (safe)
MHEG_calibrated,rare_abrupt_critical_events,93.4,6.6,100.0,0.0,0.0,0.0,0.0,saves cost AND preserves onset (safe)
